,date,qty,price,count
0,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.14,2
1,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.16,1
2,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.18,1
3,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.19,4
4,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.21,12
5,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.25,1
6,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.29,48
7,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.3,1
8,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.42,151
9,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.5,1
10,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.55,114
11,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.65,164
12,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.85,544
13,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,0.95,81
14,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.05,3
15,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.25,1029
16,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.45,218
17,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.49,22
18,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.55,2
19,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.65,787
20,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.69,60
21,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,1.95,405
22,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,2.1,827
23,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,2.12,1
24,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,2.25,28
25,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,2.55,348
26,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,2.95,987
27,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.0,1
28,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.25,40
29,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.35,34
30,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.45,43
31,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.49,1
32,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.5,2
33,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.75,1071
34,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,3.95,90
35,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,4.25,418
36,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,4.65,146
37,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,4.95,643
38,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,5.0,1
39,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,5.45,34
40,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,5.49,7
41,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,5.95,427
42,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,6.35,35
43,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,6.45,17
44,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,6.75,128
45,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,6.95,55
46,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,7.25,1
47,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,7.5,1
48,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,7.65,30
49,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,7.95,538
50,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,8.5,311
51,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,8.95,35
52,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,9.95,300
53,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,10.65,3
54,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,10.75,4
55,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,10.95,40
56,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,11.95,5
57,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,12.75,193
58,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,14.95,56
59,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,15.0,6
60,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,15.95,2
61,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,16.95,41
62,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,18.0,30
63,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,18.95,3
64,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,19.95,12
65,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,20.0,1
66,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,21.95,2
67,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,24.95,2
68,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,26.95,3
69,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,28.0,7
70,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,29.95,6
71,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,35.0,2
72,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,35.75,9
73,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,35.95,2
74,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,39.95,4
75,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,40.0,2
76,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,42.95,1
77,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,49.95,1
78,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,50.0,3
79,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,65.0,1
80,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,79.95,1
81,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,125.0,8
82,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,145.0,1
83,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,150.0,1
84,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,165.0,2
85,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,175.0,1
86,"[Timestamp('2010-12-01 00:00:00'), Timestamp('2010-12-22 00:00:00')]",2.134385506163616,295.0,2
87,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.19,2
88,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.21,4
89,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.29,6
90,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.36,1
91,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.42,25
92,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.55,56
93,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.65,44
94,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.85,230
95,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,0.95,35
96,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.05,2
97,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.25,452
98,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.45,124
99,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.49,23
100,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.55,2
101,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.65,346
102,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.69,26
103,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,1.95,173
104,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,2.1,289
105,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,2.25,6
106,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,2.55,173
107,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,2.95,492
108,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,3.25,29
109,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,3.35,7
110,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,3.45,4
111,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,3.75,413
112,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,3.95,103
113,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,4.25,176
114,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,4.65,55
115,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,4.95,437
116,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,5.45,42
117,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,5.49,1
118,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,5.95,279
119,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,6.35,15
120,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,6.45,20
121,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,6.75,74
122,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,6.95,25
123,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,7.25,5
124,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,7.5,1
125,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,7.65,3
126,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,7.95,296
127,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,8.5,227
128,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,8.95,14
129,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,9.95,212
130,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,10.0,2
131,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,10.13,1
132,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,10.65,1
133,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,10.75,3
134,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,10.95,18
135,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,12.75,125
136,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,14.95,52
137,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,15.0,4
138,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,15.95,3
139,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,16.95,43
140,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,18.0,24
141,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,18.95,2
142,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,19.95,3
143,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,21.95,2
144,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,24.95,8
145,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,28.0,6
146,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,29.95,3
147,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,34.95,1
148,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,35.95,2
149,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,39.95,6
150,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,40.0,3
151,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,49.95,1
152,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,65.0,2
153,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,125.0,4
154,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,165.0,1
155,"[Timestamp('2010-12-23 00:00:00'), Timestamp('2011-01-24 00:00:00')]",2.3481973434535104,295.0,1
156,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.18,1
157,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.19,3
158,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.21,2
159,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.29,15
160,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.32,1
161,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.42,59
162,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.55,83
163,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.65,71
164,"[Timestamp('2011-01-25 00:00:00'), Timestamp('2011-02-15 00:00:00')]",2.292017167381974,0.72,2
