,0
0,85123A
1,71053
2,84406B
3,84029G
4,84029E
5,22752
6,21730
7,22633
8,22632
9,84879
10,22745
11,22748
12,22749
13,22310
14,84969
15,22623
16,22622
17,21754
18,21755
19,21777
20,48187
21,22960
22,22913
23,22912
24,22914
25,21756
26,22728
27,22727
28,22726
29,21724
30,21883
31,10002
32,21791
33,21035
34,22326
35,22629
36,22659
37,22631
38,22661
39,21731
40,22900
41,21913
42,22540
43,22544
44,22492
45,POST
46,22086
47,20679
48,37370
49,21871
50,21071
51,21068
52,82483
53,82486
54,82482
55,82494L
56,21258
57,22114
58,21733
59,22386
60,85099C
61,21033
62,20723
63,84997B
64,84997C
65,21094
66,20725
67,21559
68,22352
69,21212
70,21975
71,21977
72,84991
73,84519A
74,85183B
75,85071B
76,21931
77,21929
78,22961
79,21912
80,21832
81,22411
82,22379
83,22381
84,22798
85,22926
86,22839
87,22838
88,22783
89,82484
90,84755
91,22464
92,21324
93,22457
94,22469
95,22470
96,22224
97,21340
98,22189
99,22427
100,22428
101,22424
102,22663
103,85049A
104,22168
105,22662
106,84880
107,85099B
108,79321
109,22780
110,22779
111,22466
112,21523
113,21363
114,21411
115,22318
116,22915
117,22922
118,22969
119,22923
120,21115
121,22242
122,22941
123,21622
124,35004C
125,35004G
126,85014B
127,85014A
128,22193
129,22192
130,22191
131,22195
132,22196
133,22150
134,22619
135,21891
136,21889
137,22827
138,22127
139,22128
140,22502
141,22338
142,22188
143,21484
144,21314
145,22730
146,22729
147,22867
148,22866
149,15056BL
150,22803
151,35004B
152,21980
153,21844
154,22468
155,22637
156,48185
157,22865
158,21232
159,22064
160,22449
161,22835
162,22112
163,21479
164,22111
165,22110
166,22098
167,22100
168,22766
169,22451
170,22549
171,84744
172,85049E
173,21328
174,17091A
175,22473
176,84509A
177,84510A
178,22767
179,22768
180,21463
181,21464
182,20820
183,85150
184,22117
185,21169
186,48129
187,82580
188,82578
189,82581
190,22413
191,21907
192,22441
193,21122
194,22851
195,22810
196,22809
197,22435
198,20966
199,20963
200,20961
201,22068
202,21743
203,21744
204,84709B
205,21592
206,21587
207,20992
208,22804
209,20749
210,22382
211,20726
212,22384
213,22467
214,84625C
215,84625A
216,21108
217,22848
218,47570B
219,84030E
220,22910
221,22837
222,22297
223,22771
224,22772
225,22773
226,22805
227,22197
228,21125
229,21126
230,85049C
231,85049D
232,85049G
233,21061
234,21063
235,21062
236,84380
237,84378
238,22964
239,21213
240,22417
241,84992
242,22383
243,20728
244,20727
245,22296
246,20914
247,22537
248,22533
249,20982
250,21915
251,21914
252,21544
253,22813
254,84375
255,22418
256,22178
257,84970L
258,22465
259,84949
260,20685
261,48194
262,22488
263,22219
264,22610
265,22716
266,22706
267,22371
268,21210
269,22553
270,16237
271,22714
272,22812
273,84347
274,22736
275,22620
276,21705
277,90199C
278,22785
279,22975
280,22972
281,22568
282,85116
283,22664
284,21609
285,21866
286,20669
287,90129F
288,90210B
289,21955
290,72802C
291,22109
292,22531
293,21811
294,22183
295,21678
296,21676
297,85169B
298,16238
299,20668
300,84906
301,21867
302,22075
303,21326
304,21065
305,22074
306,20713
307,21116
308,22198
309,21824
310,21823
311,22153
312,85099F
313,20717
314,22952
315,22739
316,22738
317,22909
318,35591T
319,22186
320,22695
321,22580
322,22147
323,22130
324,22694
325,21790
326,22149
327,22321
328,22594
329,22593
330,22595
331,21986
332,22750
333,22616
334,22775
335,22899
336,22367
337,22942
338,22940
339,21976
340,22951
341,22834
342,21916
343,22587
344,22566
345,22565
346,22472
347,22557
348,22551
349,22554
350,22534
351,22529
352,22530
353,84032B
354,85049H
355,22807
356,21494
357,22938
358,21892
359,21890
360,21718
361,21716
362,21715
363,22113
364,22358
365,22357
366,22115
367,21481
368,21485
369,22585
370,21556
371,22646
372,22644
373,22645
374,22650
375,22508
376,22511
377,22829
378,85172
379,22142
380,22144
381,21591
382,22480
383,22294
384,21156
385,10133
386,72800E
387,84836
388,20774
389,20773
