,0,1,2,3,4,5,6,7,8,9,10,11,12
17850,85175,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,31833,DEL,28191,13860,DEL,11889,87019,DEL,65208,DEL,66093,99352,DEL
12583,78080,96290,73707,20765,DEL,76766,34210,23682,13472,39084,26492,50320,79733
13748,47533,DEL,DEL,DEL,87189,DEL,DEL,DEL,DEL,22717,DEL,DEL,DEL
15100,46616,86249,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,10234,34896,DEL,96371,93866,DEL,26550,DEL,DEL,95440,DEL,62578,DEL
14688,49733,11914,10477,37048,48507,34609,79153,64322,65641,60592,57931,DEL,80790
17809,49261,DEL,24573,DEL,58524,40975,60749,DEL,82916,DEL,34311,82832,DEL
16098,60378,DEL,87797,DEL,85872,DEL,96436,43767,62004,66216,DEL,DEL,DEL
18074,88426,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17420,75778,DEL,DEL,DEL,DEL,DEL,57454,DEL,DEL,DEL,23885,DEL,DEL
16029,33777,54430,48243,36347,21644,13605,18674,81013,67361,88498,35346,67519,DEL
16250,73578,DEL,DEL,87693,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12431,33133,99600,19019,DEL,DEL,19705,DEL,70333,86069,DEL,26550,63982,DEL
13705,69303,DEL,DEL,DEL,DEL,DEL,DEL,40871,DEL,DEL,DEL,DEL,63090
13767,32035,62978,43186,DEL,92696,64548,47429,23675,35925,52071,21138,43799,37110
17924,16752,DEL,92438,DEL,DEL,DEL,DEL,DEL,DEL,DEL,88678,88003,DEL
13448,69277,DEL,DEL,DEL,DEL,47300,DEL,DEL,DEL,46464,DEL,11499,DEL
15862,98150,DEL,DEL,DEL,DEL,75321,DEL,DEL,67156,DEL,DEL,DEL,50617
15513,35322,93329,DEL,35840,DEL,57587,89835,18675,75089,69048,85029,79190,DEL
16218,59007,DEL,DEL,75393,DEL,16667,DEL,63056,77503,DEL,DEL,79637,DEL
14045,20568,59428,DEL,DEL,DEL,DEL,DEL,DEL,51844,DEL,DEL,DEL,DEL
14307,78956,82934,DEL,DEL,DEL,92379,DEL,34801,DEL,35836,DEL,DEL,DEL
17908,75630,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12838,62660,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,26756,DEL
13255,15607,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,14552,DEL
16583,48073,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
18085,26695,60312,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13758,19811,55240,DEL,DEL,82503,29380,DEL,DEL,DEL,DEL,DEL,98390,DEL
15983,79392,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,17059,DEL
14849,75593,21004,39313,DEL,36326,65257,94838,85025,48606,83473,83867,18019,DEL
17968,70364,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
16210,88869,24090,65265,DEL,DEL,76830,DEL,DEL,87074,27817,82598,13254,68401
17897,28565,DEL,DEL,DEL,DEL,DEL,75050,DEL,DEL,DEL,DEL,DEL,DEL
17377,11512,DEL,53057,77170,DEL,DEL,75504,DEL,17846,71188,79499,62989,DEL
16552,85150,DEL,DEL,DEL,62718,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17181,96456,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,17422,DEL,DEL
17951,83277,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,15883,DEL,DEL
14729,26091,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15012,47435,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,71516,DEL,DEL
12868,85350,59100,DEL,34926,DEL,66558,66997,DEL,DEL,DEL,DEL,DEL,DEL
17572,34290,DEL,DEL,DEL,70298,DEL,DEL,DEL,DEL,49906,DEL,DEL,DEL
14078,76278,DEL,33057,DEL,50856,58068,74979,DEL,85679,DEL,DEL,DEL,DEL
14001,83522,DEL,DEL,DEL,52092,DEL,DEL,DEL,DEL,DEL,62782,DEL,DEL
12662,69309,DEL,37420,39925,77978,DEL,76469,53011,27749,DEL,74727,31523,92318
15525,50794,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,31404,94130
14237,16171,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17905,29530,DEL,DEL,DEL,DEL,DEL,DEL,84939,DEL,94738,DEL,DEL,DEL
15485,53573,36882,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,96180,DEL
12433,89561,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,62469,28429,13875,49185
16955,76255,63080,DEL,DEL,DEL,DEL,67253,DEL,DEL,DEL,DEL,DEL,DEL
15350,58163,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15605,41116,DEL,82425,DEL,86885,DEL,DEL,DEL,DEL,58950,DEL,12942,DEL
18144,28699,86006,DEL,97216,14022,91664,DEL,23942,85049,55161,DEL,70604,84379
15922,17695,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
14594,66179,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,85977
15165,95712,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
16456,58990,DEL,87429,DEL,18021,DEL,DEL,DEL,23916,60032,DEL,DEL,DEL
