,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,75e44db096edf3d2ed76d7cbacdc15622963699f550f485087ca39dbe118c828,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,b86c23fd4b3e0d9073cb5f30dd580926a17dacef98bb51538c8fd81c3f16e58b,DEL,0d5b104c88819e3f61b0c3ef836dfc53e9bf4e8d5ca2f2cb1e5a4f656b281cae,599e7796e4f1153bf1f2896102f46357b8ceda48e24e7758a8e5984647865598,DEL,bdcbf90b6fcfbe0720cbcf2116c20643d807c65288c4053edd5b54203fb3b8a6,d847d49bfc82a8829695c5e241255b27790b778d1076e874dfedfa6ce1a2e8ae,DEL,9fce88f9ad8a52d4f54ad194fefba810431fa75e441ec313709ecab89528a551,DEL,72e0945d4f2f1d9c1f490b0e00fe02d3b4cf786b7e9fd86e5e87c89fcba068d5,5831b279d395c7ecf19604852111571df4914b8069a9d264588d12d881a34e37,DEL
12583,2ad2aba3c439c2198b1cfe1cbbea41e28d4ba5cb819d83b7acd3b3f897063793,d71e2f28d9bca51ecd0dea56f4859e4f23e0317ef4a6f10eec9f77c7a45a640d,2476c936a41e6536c90e59da87929ac286995e0f5a74ebda77764f922059c6dc,8ba2b0c700d600e8f14f4a61ad306357785cdb151ec174f61ed21b77a4fcb0b5,DEL,f8129ec2f874c3b28624945481d5e375ff3f027a5d6a9078425c56a558dd0645,2f402a1c2952fcdf75476c6dfd2b4db161be4ce7dc975e20eb883c25ef07fa5d,1eadb53e00f62ab86d642aade209bfa0376aeb2f7ee7921019ff6d7a74b3d4af,37af43391ab007b051ac8b11b90801692c64e45383a621c05b26f52ce0b7d4e0,bef172ce191aa7197c08a095c73943fd3c17c0e125af1860fffb2c51747b7fa5,f5e4ee81cb17f50c32656aebf5a09075abe0fe393c39a2568a934ba2adc336f2,69b03d8d062b81e4d21e4ed157e8296f5157ccb3402929657bc33f505074ec72,29d997f1ea249cb251f9a836fda7ea841381c6df9d196c40dab016e696c4c197
13748,0f9aa834f67fd395a63d4ead94337ffbf2e41ec9767dd06efabbcef503a42725,DEL,DEL,DEL,ee7a9a2c0542bbb794ed1ebcdb77205da6699292291a9b668d41af657ae51015,DEL,DEL,DEL,DEL,bd0c24cfd230d9b1b7fc14044f975364afe01e9d7b86863244cd7018f5684722,DEL,DEL,DEL
15100,ae910c7d65fe0ea2c9aed492c44e5a05d852b741e1b861dbe9c2413297005a78,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,390dc4e636af0d68d2de010dbee950609e81c304c4e3a6f3d6deecc10b41f0b8,6aca290f8837839b3ac8947cb61622426a5224fea9876c6f73fe951e1e7c1939,DEL,f468f743245a08ee7e762872332be6d6ecde37e4807b59a4b2a356264201d74c,5f99bd830a11b6c4cf6e18bafcaf1fffd09352fd6f70b2713e015887f5e13ca3,DEL,c222e6320079a304802b5d4ac7baf920db350e27958042fb3e14221bd3771c43,DEL,DEL,fc659dd5c5dfbf177ba7bb2b48d685322d993a461ab996cdb33c015de032c63c,DEL,c7614c6b2524514258fb59d6a2097c268fa54f22f496ac8f8a6aa1e626f2e9c5,DEL
14688,e38aeff2dd65662ba208ca944449cfad905509b15eca2b65c2bba9961bf28eb7,eec69ed470f4fc89375cbae65c0e4fc152fa66310cc51f556d490bb95eb5a0c1,087fb5d4e30e4521a21d7d98d50acdbf27df2f348778a40bfa40b19e2d4f68f7,1d3f6e0d307c9f33f70b77586e30da2ad93007d92dfab5fe8df7da0ed768c12a,480751c1be75560836511536dee04d7a609ee01276b80cac2f7a4125777b7f85,3667eac4c35afa5b9ab084706d7ae27f052e8f4ff46515fe2553188030f71d5f,53f44a8c6601d5e638e126864dae3c595f1431c94317e2a393d05bb94fc82c04,353ed9d1046f71396f3ceb6eed7f46c636d06997df7b19242ae2a0339d51ba63,88b3f66d677141371608f642a1eabc7313dc4d91d000d81f764397e2ba39ca02,a1b5d7b994534a3239cfaf12e09ad3ab87f257adb1f4155d8cc13a0b5aef7208,79e081b4be0ca5a129de0a04e53e5f838a5a774f2129b3afb06bae85b0e523c0,DEL,6c3ae9674751422d38509f68edd06b47cdf5d0d6f44a4f8ad3f6745cd728b8d8
17809,1f3302b9675d57931e4627dcf8716eddcc44b00f58fe3a22ff2e3caf3cbc096b,DEL,6588092f13c621ef39e31aa537b6cea7dd76b72309c72e08ad7c5d07300859a3,DEL,e0b2bca7ec39b71162084d5ba7e128d5528c041b2aa6f3a39c041fe5a9b2303f,0ca3aa01fe69a28306f25d2d027ef9c04f9213d3f09e7185d47c074d6ba15031,c608e11e061114d112c64d08e39a9bfed379d8d4a22d78a86ec46215dfa7d16b,DEL,3bbde7ff3b30e7772175d9c19415c09258d176b570cca6c90972db39dc855038,DEL,9a4b9c5908f320cb10c218455cf73796f3811542305b7223f0f1d97a4e18e563,d7df7172db29a103a441f9a90c1d343df87bb3c4714af30d4962aca286424b84,DEL
16098,f4132610683bd0da0001b421480adaa6e3f4c0905ed3ffd465fe51f3f6542fed,DEL,770e77c58ac9ea07410b16c8bc9c96d78bed938f71fffd404057fefa7591eaf0,DEL,fb2d285c78f4d770d665b3956b0720e0f42559bed07ec8195fc7f308819f5074,DEL,5da978154877bc04126c1d1fd6e7f92ee86f7f2242912b8d46b7c713a025f9b8,d7a8ddb4197326eccfacfa63143a892657b733a0b039fd04c99e2d96d733e6cd,628753e0a39e48914a9f499c3394e7a4cdf46a15b56fc063e3f10ed1151394c6,b985ec7193c786d356395fcd29332fe204f745d231455fc63ab6c14a32fd77de,DEL,DEL,DEL
18074,068ca51d6cc63a0a3096516487e73e0375cb01d65b040d48cba0beb7b98ecfff,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
