,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,c4b4eedaaac76300fcb404817e7ecc7938c70016556242fde60c17c5bbce1506,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,41a15194ad6b63d666721e7862a36026864ff9a9ae3cd5935d6c5de26dc8cb4f,DEL,d171257f92131b5a0bc9322cd38af8e6adc8f64236c59789ea7404f15cce0e57,fbb6bb7ec52f9e5db748d1483dfb6e4c71745c50a2f45184a7a16c6b3b90565d,DEL,56e2a10c4c4ad2268beb2bbb99cb535754fb43280a0c40caa7e5184618dc42b6,eced322ae50530c8c69a1f517def35e1eb21a8bdeb3feabf1ab38c66f07bf24c,DEL,b7e6886ff8ba48c141895abf2d77abd46c73bfc7ee0cf8fc04aba649e9d8eb2a,DEL,e81d2f08169357d7fc5ecbf77a8d73e91a6234127a9aec3281b9f6632f7bb928,3600bd638b911c09eac76454b99e6eee143a5194aec2dce156af2dafd12944da,DEL
12583,4b63c032d8a8e7f9d06ee7f6cab78964192546d304646e9fd596a01be2d0f4bf,067754c4cfd4d15ca31bdccf343c3b8973ee180d7074d4062399a41e15e90594,c6409e63350637134cf38eda977eeeedf47fc26dc385d9c3e7cbad37ada54910,e8a307bc4504d1539b7eaeb0b53bdbd4a3262e19ebf8b0da144c3fec777e30ed,DEL,e5f841d7f04801f045c1fadf659d66ddd9e046ca8e762055d7ea63e023b2c559,490d72ec5dbbf5ef77230c1d89d45522edba221e720a79d835c3a518161f7fd0,2504ef59fa11da2720d11c78ed9874b6dface71e5fb48207ee789e2f5258bd53,792999dae3f7640e92c12853792bb5a87925d4a880584ba8f60552c25820af73,49d5aa69a31f77f4427095dc1c22ef185cb0cd9742211edd0991a6dc6a6d7003,0eb0a2fbe149e668139674336b0ed42528e7143c5b6878626abcffbf8404651c,d14c00de297b00e09a718bbe6acbd45ecd4e7e240eaac270964e94a3056a4e5e,f2630d47c9058d57acb02866f6e2be37bfb39ffb4c200a1f3729a527b6c1829d
13748,a5ea5dc86d211269ccb4514d02fae50a5eb5a7bf5fe2e36871ece8a7b5e72d6c,DEL,DEL,DEL,e278033a79853af16d6fbc27e7a7dbc09304e6080c15f6a7fedcf3a5b4f0c25c,DEL,DEL,DEL,DEL,a0a546ed2fcfa26bc6ae901bdd58a148a7bc8374040ec6b437577a42431f838a,DEL,DEL,DEL
15100,6b0ac8cfac230d2a8c7c43ec17964284cb681fe8d76eb72570440b726c6db0ac,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,fee96c677caa1429dd58878f48f14b28234309a5e10455009ba673ce2e990d2a,d4f808efa73e37d56e123c0ec888d4d73f0c746245a291ad323c8174f33bc2c2,DEL,b33b0963bbf02e53ca09fa8ed5c2896da70cad6987731ac304222a5f55549fb6,8e5e27ece6208e970a458bc0f88d75ed583e45dd271abccc3d4699be21129a73,DEL,4ac8b82b56a612ab10d6c95ff9e6aeada7edc35ec9f2d447c812d415e45daec2,DEL,DEL,ad86191f6e91a659b49b63b3d8667d0fa594684d1b2685b8621e658d1ddedbbd,DEL,ba4ddda668e717aa0b9cc9159cf87b2f7feec0516b1e6820954cc9cec8ce5e3e,DEL
14688,28779c6e14144ac35e61899f539e27d49003e769d494c162573c49d6ed8161bb,c0a7e672ed0b22378e4ee1e725afeba12e1c1e5ffce614dfcc6000f2243521e2,bfb22be9a8447e5cf43834059c2e0b56b8e8a97ed7511efbffbb2274104465ea,66a9bc85f9aecdbeab14b3a61b8e1c0db5f5c019fd0c4dea5b6b6fdfcec02a67,8a426e9ba1bffd316ca60fd2bfc16a72bd0d232123699053a127055ace658ee1,5b5de9f08e77341241ee2c0a4108ec7467c7e3f4bea130c6699db342bd2eba43,900a1b3091d044af7dae8facdfad775bdd9e68a5fdecef739e33361d4d924781,953169234c5eae74f06c8f97ee71aa1b48dedba5ef2562f766e13e6905f56238,5f7d388736b01809a8bea18539d70933481bac6ad10180409a8f5085d0379e0c,ab5234a3bc7acc01bbe17d9d13136f304b5cc4d59f8ef8ffdc36cbc2edb1505f,59d2eccbe793b863694b982580c19f94cb60aa06ad80929aed07d45701965e66,DEL,2d32be93a3a865a6573b167fe547e39974d607581807a0a80bc2bd21c713d200
17809,1ad8bc152a4b0219dab7dc4da09ae8e6d432eda0b1f07a3a61b87352430137b3,DEL,4672e76292a7f5b9b072fb17801c2f6b9661c52d2af10c5154c81291d6f96462,DEL,a41fc01c0fc19270566ec0bd78444121c5f8203c4d591bb00bda48c2eae5341f,583cbfe0f2252e10008961ae79536ec70bf9a09da138c5f2b25b1cfec21bdb47,3f4eee8d55581ca87ede4a01adb0dd7bd6dec2c7476009c30d60d103d3c608d8,DEL,01f84877a9334d4eabaf4e8515e7ef5b09ade90c19dcf88f32a36b152687e0fc,DEL,bfd56f0d4abdddbe00b347be4c5c4685f29d42fdcb9b6bf7a3b1fc5c9dcd464b,8f7aca435d4905f8da2d817446462d7013bf419b5d67d0d7234385ecb1e5f4c7,DEL
16098,33735308636b61e1561cdedc7a97120f7d2c813e878b43dca742626503ee9f3d,DEL,db5b726a791ada4f5783e831b6371490d6f9ee1caf16a00b3ab3180c133a4785,DEL,8a8852585833768aea73343c63e905ef7c8c9e5b1ff60348376d991be9b594b3,DEL,ff12b07e7f39a870371669d1e741de2c0dbff39fa45533fc69af7ec31db7169a,7c969782185cc8e744ecab5abecafc2c6620f0485f5765fbeffd57be747f7de2,f408dd9d997e9984688a835600014bfb50107758a534f9850adeeb513a84dbaf,454fc4072a6fb7b0ee4709e37da6196aa4f2b1e146a5a6ceba61935cdef15871,DEL,DEL,DEL
18074,a26dbfc17712007f55ddfe9a2b55fc6e3fca0bd69e361a84bee6cd9c738ac77e,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
