,0,1,2,3,4,5,6,7,8,9,10,11,12
17850,12540,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,99432,DEL,99432,99432,DEL,99432,99432,DEL,99432,DEL,99432,99432,DEL
12583,57032,57032,57032,57032,DEL,57032,57032,57032,57032,57032,57032,57032,57032
13748,77415,DEL,DEL,DEL,77415,DEL,DEL,DEL,DEL,77415,DEL,DEL,DEL
15100,63128,63128,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,37871,37871,DEL,37871,37871,DEL,37871,DEL,DEL,37871,DEL,37871,DEL
14688,39829,39829,39829,39829,39829,39829,39829,39829,39829,39829,39829,DEL,39829
17809,56531,DEL,56531,DEL,56531,56531,56531,DEL,56531,DEL,56531,56531,DEL
16098,29596,DEL,29596,DEL,29596,DEL,29596,29596,29596,29596,DEL,DEL,DEL
18074,61772,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17420,15019,DEL,DEL,DEL,DEL,DEL,15019,DEL,DEL,DEL,15019,DEL,DEL
16029,64751,64751,64751,64751,64751,64751,64751,64751,64751,64751,64751,64751,DEL
16250,84015,DEL,DEL,84015,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12431,39535,39535,39535,DEL,DEL,39535,DEL,39535,39535,DEL,39535,97762,DEL
13705,28673,DEL,DEL,DEL,DEL,DEL,DEL,28673,DEL,DEL,DEL,DEL,28673
13767,16024,16024,16024,DEL,16024,16024,16024,16024,16024,16024,16024,16024,16024
17924,6538,DEL,6538,DEL,DEL,DEL,DEL,DEL,DEL,DEL,6538,26665,DEL
13448,44095,DEL,DEL,DEL,DEL,44095,DEL,DEL,DEL,44095,DEL,44095,DEL
15862,49137,DEL,DEL,DEL,DEL,49137,DEL,DEL,49137,DEL,DEL,DEL,49137
15513,34523,34523,DEL,34523,DEL,34523,34523,34523,34523,34523,34523,34523,DEL
16218,86790,DEL,DEL,86790,DEL,86790,DEL,86790,86790,DEL,DEL,86790,DEL
14045,12171,12171,DEL,DEL,DEL,DEL,DEL,DEL,12171,DEL,DEL,DEL,DEL
14307,22783,22783,DEL,DEL,DEL,22783,DEL,22783,DEL,22783,DEL,DEL,DEL
17908,72135,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12838,56395,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,56395,DEL
13255,48454,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,48454,DEL
16583,93697,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
18085,85732,85732,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13758,24262,24262,DEL,DEL,24262,24262,DEL,DEL,DEL,DEL,DEL,24262,DEL
15983,16919,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,16919,DEL
14849,591,591,591,DEL,591,591,591,591,591,591,591,591,DEL
17968,37123,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
16210,59114,43692,59114,DEL,DEL,59114,DEL,DEL,59114,59114,59114,59114,59114
17897,81700,DEL,DEL,DEL,DEL,DEL,81700,DEL,DEL,DEL,DEL,DEL,DEL
17377,46948,DEL,46948,46948,DEL,DEL,46948,DEL,46948,46948,46948,46948,DEL
16552,14285,DEL,DEL,DEL,14285,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17181,46925,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,46925,DEL,DEL
17951,62484,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,62484,DEL,DEL
14729,76156,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15012,76725,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,76725,DEL,DEL
12868,84487,84487,DEL,84487,DEL,84487,84487,DEL,DEL,DEL,DEL,DEL,DEL
