,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,33de3d2c28369d0df5e812015bfe391810a7b7b48f6bb5d83c87829201ee4bf0,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,54aefacd75e5162cd6b59e7946460b87b28c387e1fb288e491a636c367d69d1d,DEL,7ce2675752b15fff50ff996d311fdd99cb5590dfa30e94243a7f20caa43b6193,675312b418277db6628b27c62cc720b2b51ef0d4269a591da07b4e27b5f92176,DEL,52d452895b15f65047f3a8ab23347c9de7f548e86bbf82f70e36101c85a08fe2,fe9d75b3cf9a1e9f995da8047cd49f87923e8bd73a03bbd6bdba58f739056407,DEL,a57d60832693707b1cdddb942fe2e914a983eb1081305c768b1ca32e744da1db,DEL,da5ecc8a749161aec292ae4542653c2fbe5c90faacd749a116961ece6587cd80,55ea1e77129915a4855898579c18a04d7ac162d2a4ed818a6471695e75116d39,DEL
12583,fb4448ecc7ad0054e7dd35ffe29efcb0c082112d1a24c805064bc434f54f493b,8220bca9a6943b48e8ae28d490d1ff3877026f88ef27f84d852cb47c8d68eea6,6f9ec63c38c1295901e8b3ffe4d34347bb261999db800e44b681802ab27efdea,614dd6bd5e42c742d80858ac494b3c8323375a931e9fb5740ff8dca4c85d569a,DEL,731142a30742d29304cce1e9babb9513d938e73bc60888e71156e2a3671ae70d,7747b0312474ce74e67a1897ace21616be75ec41a555c0d5b6b2d983f1766916,f006a7454a1e11ba0531568d103f3e5f979097d0e0a0606e838276f4d68e0822,aeb28579a0fb87f3b6fbf2ffd5a4f6887035f398a278be70421cd102d5392eb9,0595f7bf54ccb753060091e26f9346eb6ec9b16d4194910cac8b96a7d17b46c5,307a274a81b0f2211daaeb5209401e02733d755c65e864ce9a191641796dfd38,fa2c831c6e622d672ba85e4feba8f21383c7fcb881b1fb1e3d3a4d2c6eaa9a1d,faf7681aa9830787319d64174e45242e2f157966959c99fa19fc78aee8813e8c
13748,4191b5b3b0aed6f603e6d78033c0a0a5be58d8bb42f6e2c0b3f384f47cb42a12,DEL,DEL,DEL,317083789262a12369f55dca0c62b1e9e4877e5f1069146f9934473664819c49,DEL,DEL,DEL,DEL,2058e64e2834f9bbf9cad8fe1a9c990da8820b412063ccb8f2340072702ec200,DEL,DEL,DEL
15100,b854f29a934e4eb610aba4d678482d6702bf16385693e4a332e2e764bda677ab,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,6ba2825cae635eb176b9b19746134357feaa7497219bc788d81d134bb6b286be,d28e2cde5e7be4ef723003c43827ce0cde7d1b4d69698b66149daa3807cf8d78,DEL,e4fc5d3bb31eb904429553eaaf2a3bc48a0fe7e787f34a3b859c88529dc3f93f,57a834c62a443fecfc4d0c37067b8b727feffaf72c15ca59021b6526e57ebd93,DEL,fc080624ba60523816c01b44a8c4ed2c88d59c0e70c80cd41cd4a28314fd789d,DEL,DEL,0897eede8d05ad91194936e5922aca297e6845f3050f1c809e3a6f0ddf6aa76c,DEL,237518b38931f569b361c82105da5b56d5204abd5f067b40f638bee6f1372536,DEL
14688,2495db2f3db0e8bb13e28660adf6017e5520291def5730566a96eb0b7329fff7,bf81ca3c69d5404460180b536d7e29dd434c6d1d75d1ef2439433ebd1bb929d2,c233b351c9344cdac7d3984ef8c152066c75042dc2c9115be21c8570c69d38d0,6e74e5bd5f85c93c1d53112edb9807fa97e6296cde6aa230301e7efec025aa58,c946147ba09e1488bc62a1d23e2e4f971e2af975b36dab2859e7759b2757b1ad,7daa41a587f0f3d8e7b1d10e6484acc41f93993c706208094c535dc1a1e9f753,6ccf24d40ae9477bed4ab8ac4913303698753c76800bc3bb6b0fb1518a8c5863,575aca970f1092cccd7031be6485d01f4260f92b6e950f3555796b4501aba9b3,84dfe027b0b82bea466cae0857beabbaa9a8330654a4d36e686dbb444d455c6b,2617353e207ff91c7de286854cb71c6cba457457de0b30d81af34cb493826361,f647e776a31961f193a185b73c695e40e7db54621c8f032cd9dc80efd11bd143,DEL,521f369cab87277533fb886f25dd8be040b0bd20930403ac93037940448ec2ee
17809,5704e17528847b04d6f7b66b1df36cfdcfe571a58ce712bd6231b057344c1a87,DEL,47d2a52b987c4bb0de2a17a351f548f55ce771c87e138391f0db5a8fc59cfad8,DEL,e83494429d87ed9c692dcc5ce2caa7664cda02d1f4383613d0b7e5279fa0a0fa,a4e1c3dd16a4c24d33bee6a29e38c45af22116099ffd6ecb0eb156f5e5b8fe67,27cc8d0efb714ddce22907e1dd3732eab8021ec5e472239ed9338f6773005db2,DEL,724299138529201390f2d60797b43ecd6392f29450e11ee58b89b39fc5fa5e75,DEL,d6a1f1d84fc96c586b402206536af8d03c67b8394f23df2ac4be4bd9909592d6,e8f1d3645bd3bfbefd5ec83fb8c7479f93bbf5242d67a2e597c5d4ea65fb8e04,DEL
16098,503b11e1d699ab7a49e8afb4d978e7cebf09377b58f5a164cba7630497c4c83c,DEL,e7112f26496e606f816389e5cebd0158064f4e165bb03e82d2ba8f9561802799,DEL,a4b6b25d6ee065c5c9f430b351e11b590942dcff3fb5c6d411bce7b15196ee25,DEL,6555792535b901571fd3cb0abf15f8b6f93fd48176ab883b39b96ae03b3eb199,d7b4301db290b00f3cf6e7771089e2eedcb6b0184a66f58c0b0d1bda7d65f4c3,fd689321ac08be67bb580ea8b6073d1602f6f7da0f992236355851d986d7e3a9,7f772a4a2d71ebf1d3e77de61356cc906d9fa7c5768c9668f67c7140159a953b,DEL,DEL,DEL
18074,bd80a4e65d0e14a9e959559a05e9b9a6e08ca96868c9e8e6d9b90fd3d5619920,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
