,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,3f63838a9502d7cf1918826ce2ab63f8795c9c9843aebb600bb90c35fe408637,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,dc088c7f12a0b329937732c37235abe04f17407e3b43a31b1ddc0431c0065cf2,DEL,9c1880ff9ad1888d0bd6a2bbe2dc4e625c812868a5b72400450dfedbc2ae11b9,7a2f042f382c04958a1dc8331ae0a824332830b27b4c622c05bdbf0eb13a36a2,DEL,d055b9485ce44c2d925ea42b66cde6fedd7b2aa5390e6d5b824c80b0578df6b7,3115cf80ee591abb1f31ddcc620ab990a308799b65905147ab9f38ad2af353c3,DEL,cf1d119466744081872dc6d68c9243fff895c510085a4c272d7a20d129aab70b,DEL,ccb4da1a0c943eaa3b47fb6f038bc1df45eb50eacd22f2d33ca3147c24e4311a,6bc7ef1b6aa3d32a90209659fda95cb16094fc163c5ea84c9ee08cdac265aebc,DEL
12583,17d97405dd1a6d401feb04948304fa0b6672472b37f9517881a7601a37ea3d11,3665490a15ee821567217a4be84ddb35b3d0bca68cdb58f0c1d63629fc6d1b7d,5d5d391ea2abe86b2b5529cd32f8507e248cd15797ba35fb083893ae5da1b545,c2241eaedc7e4c466aafc7a6e38d8229bdd3f80326364e581d32987d65460c48,DEL,1f5abc7e8c4860da2b85aec71f32654ff006d2add85ab9bddbaaedf5be190f08,2e3e829ca2b1df9a36540ccf391b7cdee037e44e3ccdaf95445e23020b306aa0,893fd9326ad28bda0f59df0a69ff20c3541a898efb0ee9dddaf1955abf452e0a,6e20c41b375e5a1154e16b5eee2f405cb4f7f607cdceb5314a1124717f84284d,54199bc804725dcac584f4899d4ab1752a7d6490cd7b7f2ecdab53ae19273dc2,6bf8411362441a104cb3d9b03716f70e86c654115729482cb7f60442ecc1269d,65f44b8d0fb5383259b6d30644133cd473fc17410b7b2ac3230ab86694a3fa7a,fb5693964c284cc2830bc9135ad587b0d2eb55a59b512280968f7251ba118648
13748,c91153f3a4a20275177757dce8369d58cc8984b1b962d18146b3a6f06e536a73,DEL,DEL,DEL,48300fb680380ef3b4c2f28445445b2f546657ded983388426ddce7d8a808f22,DEL,DEL,DEL,DEL,2257fbc969cdd7c351f1178b3d73860f5d29b3d59955a467b045b662b31d4333,DEL,DEL,DEL
15100,3c2a057e7d4b21114bb3171d6440359f28e14bc3e36972514d2020b637f12ca0,62417c3bd18682856fa8818a5d7a55db511ee530a3c41c086bb96fb670d54743,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,7fe143b1f5d1de55305561a22b73d7b0a6e47f15c160d5f63b254a49ff21d7ee,a7a530c7101d1ca2508d43941a2aa82b69186ba31b3c37650295f43bee530d2a,DEL,8d0a9c0121a1e2cc3eec3b0c67a9927a62792b66190eeb62933ac334869abdec,e7cd2b5ea26b71276939ea10db4d0060c723b9c252ee0c4b9c0bc20892b5f36b,DEL,565ecf1f96fc704f1d5e5066d41dd9c0b800c01d21d70caf4a1b1a660a33907e,DEL,DEL,34c0b1d27df4fa742a624d8ea2722018d0d90aa787bea7805dd77b4d4bb41839,DEL,d68010e21678956c164b21cf93e19e3edca8f398f8721455fe29e00a9e915942,DEL
14688,ee7a12031896390c25a50798a1a82feb106ffc166d74e36e9841d1fc4e4ac9dd,84e0ebca34e778aa0907b5743a102957fea2ae6aec68c08f7d10a4d89290ecaf,bef4ef70bac3847d30f0f14b8a642915e88eed0d074baa6c03d1092cba6d41ef,22ed3f83d46b693aed382282a205c285e61fb166760be8b131705b061fc881a2,f511540a8ac1f7987ebad26b92b29795af869053ec4411210779d160a1ac66d0,8e8625c6f9d690c2a464d7967b2b92666bd64e58f165d7899b474d7001e9c16a,5ca51c5506b9bca8b2a36620a04dd5c6b02fe12311e43d26bd5c6a4e4889af42,40eecdb00dd3ddca7630a9ac2be5393d8ef4f93392d2edb52f27d8f7025efffb,f8ffaf6ae0004d5664ff906be67f8f10b5d2305d277a53575ce9cf8fc86f0721,73bb0e9c016d2dc4c1435a00475e5727387b139aeda4846fc2556c905f1183dd,d67c63d282755d9a30cb16f226b39a7b2c4982334a566bb184ececb3f518d300,DEL,c27e20015c347c386f3b49d73133e035ccddc0010d7e78dae50cd7a21416cbae
17809,af02e1697fc7ce92590550d776fe212c55de50abd8fd50ad6b62eb161bfb15ff,DEL,37ef6689228e9cfca881ac2d4ee2775a12d5588b2b276813319d3dbd60e14132,DEL,04729f3d24f9a2b26a8ce72ac5f0006a86392f08514cad14f7d2382c6afc8a90,7af605e84074b13044f972c76f4137ac3a488875af41b5ee472ce1069770098e,6e15958a186e6f206ae1f37f300a6f22f5d12b293f7d4f676e1b76ee945507d0,DEL,7638780e851b7dc370dc81960b87a75008561053312de72317cd71333a7be9ef,DEL,23873c685cb044063a8ef3b08740f3ec862cd6adb17613eb6d4ca7b1a7c26d92,fa6c17453b218d243f405c4afb66525a5cf6c11ea8b39e6169cbd6d5b702b19c,DEL
16098,6a47be4e989325a43841e18bbfb64bbb61c894fd4f3fcbafa4f9182d1f69408b,DEL,b355598c16a2b31f30ecd2ea83360ef7f5d9df06c870055e5fdf8de5f48683b0,DEL,80232830511430521e533a985714b376d29f6f3acaf99e0ccf4ecb39e3a58cbb,DEL,26a92353978d8c8b38fa7d43673e5e2e48f267e669afbe465fc6c40d26ea8918,a8c2176d2d3254266961ce72dc35dd30de0670760e770d8c5e7061ddfaae3f00,f1e62240b4e2b41bba6c57f242fa5abcfd875999722ccc5f4ea22a76746ed7c5,eb24ff4e174af26a4243a328c7a7f8f0cb0e3230678df2eb2b3f93bfbef0e093,DEL,DEL,DEL
18074,c7218d4d19fe233011d9c5510b66d233fdfc7a26e8c28f57cbe95432cfee69a6,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
