,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,30545d8a0428d999b53f271c88d48732205bbc9025349b2fe94d8527eb5fed84,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,77c23712998fbb397c01d1a42f6491022b112a8cd92668840ed92d730088efb7,DEL,7a3de5bbad2d4416d30513b09c0b584e964c88995d6859cd91552b233342502c,4a504eb780ade1f75f9c87d0423695d57a3036f13209e15e74be7932619d7e08,DEL,e4d0905ba987a9ba342fb7bcc4b96e3cc0498183fe914acac0c5584c919ad18b,78bdf2f815aa484e6ab4266846a382556787931e68191c2aa465c8d7e9fe88ee,DEL,644e7778802d56a15145035838e579bd0a0658590619a4e19d4e9f953a9c42a7,DEL,70d72a8d868c054e0b95d44f09bc7dc50434e7287beb956f658cc9c567e444f7,1b12690d5428b9baacaafa4c7f6e87289792a6f369cfc2f84f85f8d6b3a70d7b,DEL
12583,45abd3621e7bdf982f1863a92ec113dc763ccdba63b5c47201aaf95ba1e8756b,4ff7ad56355aee1bd4980ba0c56bbf1e58b7425e8b54fa6871a9a0c1f43b91f7,0996179d92d7ffd843bafd134a67973815ccc9994ec2e7f69c6d07110019edc6,987acff5f8c99e2362a123b8ff7c083156ef6095bfc1f7e731095a1e282dcbc1,DEL,aae15232144d542b95928e82abf1d89af97c601a0f630359dee5e32365e22329,523129c1b8a5985a32589df65837a72aa8bed5f07da59788b9877afc971604a8,29ebb69286e2842ea2c1866a8ec34913425c68fabed8be567a4debf2663f5337,a5814bd1eb534962c753f7c748515a462f06279cef34ced16cb4fd73ead4d8cd,ca425851b893fde3b522b450be53af8b5f8f9c291a75e8716e4d567eaa432b65,687d6eca7b7d17499173847c12bbb899fa4fb17af629c1cae17ed57498483855,839f6be720e76668b847e40051626646323903111dd1db597b63843ef284d1ef,eae6e1bdcf0852fbc77a4bb21729a2d71812c2078cba4c8ae18cfb8881cad6b6
13748,d4c0d7a01260f535561211b7a717af5188859a0fc1d7e618604765b01ba5ba22,DEL,DEL,DEL,d27e398e96ad551947e3ecf084401280e14f3b2f0e1b995263976598cabe5c21,DEL,DEL,DEL,DEL,8897d18002374ae9a40a2f595dd3152aec267d9a437e43b10eb15b67e2219a00,DEL,DEL,DEL
15100,219ffb465baf0cf53f09a1e625d63f28bfc9c0ac998f13d6723fcb85ac596748,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,9bb5a1499fe28f60c8a41e94142beb8dc6fdb70d36e93944cf1053b77b218efc,ce279ac65c9065cb32d1e795470e262e73ba9dbefa0d30c4816bd63c2e8a93c9,DEL,ea7d33c3dd97f72802d7bb52c25118316f13f11eeb27c90f0eebb1fe4063ae74,f223eed172d0223f9b5e2cd74fd5f8eeeaa095a5f07d09907040b631cd9e0d04,DEL,fa19bf1183dfd17512a108685138bc10375b7cbbb6f4e40b20a7f846831a7ecf,DEL,DEL,d29da32a2849fe31c9e1ded56db8186b8ff8ebc45b0a5f161a183fa0b77c3e7d,DEL,f0b5075b91b8403425134e3f888c6f8efe642eb07cc9ea7d72a70ade0ab73a8f,DEL
14688,bec417e058f554f293c144edbfc2d26a757817f059c36840f340f284278f83fe,df89a3be90b3d55c4d20353fc1ba7ecba5f5d6f1213ba0fef9d6d353dc5ee8fe,8c5906fd8562e63bdc67906687580b2af34d5a895c408e0d9b39593de3b7986e,103758b467076de2d3404925b1cad84eea8d23853cbc617bc5e027b4aee0fa41,7bec112f1a731a85ceccd0636b598dfbb365559689b2446b96672f38b05c7fb8,393b52225f7badf710c3c6fa9f1a640ab3ff204bc97dbba037a4294d0255996b,ce7ac4df0605fdd380278f70c118b816ed4c88200a504b4d141dd76e2cb7cd24,5ea4ace31e40549fd417e1adf39ebf9b06eb4a1c924da5d5ac747576b042209e,0618f47537cd899f48dedd331db1d01457721e0192ff082e1e0971ce1dae8672,cc2ae1c9bad95a20b08c611be6ecaa49dddca3dd042da487ef1d9a0a0cdd7777,86e3e55a4ec9dda7bdd6c706e14e76dfbe569514a70495733668196e9da48647,DEL,de16f989a909896cec8a692899dbf78443dc0d19b51afafa8a9a7e8453a10439
17809,ab32fe4902a57af6194e4648114ed3ee134d2811e9793976bda6ed780a2047f9,DEL,861639b938ffb7967abd3bb3c40a42daf7c8f0a264816dd70b283303a88e4b9c,DEL,082bcefe9ae4f0a3ffbc2a53d7b0db04c3f44ec1d931948ebb85464bd4c80751,643e8f798ed5364ab06076482d9bba8c5131e5ab5251eec71e2edbd7bbdd7600,7729595667f8df5fe2c26fd130d3f5a23623adcf3e6ab7f3eba2f9a96242e06c,DEL,c7c1cae103166b1970f4364e74853cd199edfc14b11c619037d67cc0e9c02f91,DEL,701e1539420ec77bc6007e77591e4b5f31835d8d642c468b01b2e53a6f3128f8,f9707c42465e8272f62ab2ea42da8be8424ec07ca8dba2d68bf69c6b93bc1be7,DEL
16098,290767e60379fe9717a0f5a1e473646a8aaaaffbb79e2da88d99c1a37d79c767,DEL,3e1b41dd117c90a64d3e324d3f03ebc19789c649530f6c472c38601eeb13dc2a,DEL,1a875965dd8ed1a020193ce383c57c231102fc7e9bc03c90e3c67ada66ae874b,DEL,441882b2e71160db3d8a1db20b53e1eb57ac49c1e7bee403f857224f05a49e61,d69e30b0e5a1d91b9460b4323796bf19c62f5b34a12956781c0b0d6b9d166a4a,d8fd0d46f002f9b277515a9117d46867f4eeb4fac08c8e6abbcdc124761a98cf,0b3060bab31676830564aa397075d5a77171a615d09ede45c3cf7990daca11de,DEL,DEL,DEL
18074,f15484f9d82f83980be3a1295113702cf493544a4737ab3b5bc985c932055c54,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17420,ceb211f09578b6db8bab8b13c09bc597daa6df0c78f4d22f70d59b9c74236ce1,DEL,DEL,DEL,DEL,DEL,ea665211452359bb6e3ac363fbb11eeec3e2b46a00d9ff57a8c9cc6d602f4d7d,DEL,DEL,DEL,f642c6aca484bbe6ccf93691b61d8744982a19dfcbe336a4d1388bd6619978cf,DEL,DEL
16029,6150101ba374c3ed3a7af8fc0dd52bcba921c8937c75a2a60d35f4c28a617d3d,e5832b9c4d8fe03ed9b4412344c3b2abb0cad56b4dc904c0b2cd017647365d7a,03b3469091e27f902b10988f029e9ce1df130fdc3ec3bf8c330a9681a5b514a4,be531423189df38ff8cdad5bf8760e0bf47ebaffc2b26ea45d1ef4f979e063d7,6ab24777479f60eb3002bdc80eb5d98382d2e14aa4a7e6de55794e28696d846f,b1971fee954a06c127fe730b665c52fcc6c5e2caa7ee15289bc47420f3d6b6a4,1263e4f7c517487de93c27a61dbb27951f85bd493240c572943a6eacdaaa8e91,a3c621edd686a94ede745e8a03c73db87948ef7cf912f4953e798fc1c292cd27,529becc3e2287be18ad129a0a61e7650cabee09681baefdb1143a4afb686529b,cb1070a1fd43e0f401dea21886a032c9361e1463dd5b225d5825ae6498961599,5e09b8cc5408c63f1c99187c267dbec22268ad21777811ab78cd28221b385213,e734cf1705086021a50403005eabb5c94946fcc45f81799b30cca3a111b1767f,DEL
16250,7a08534cd578ade4c536c0287d672c4b21f2cbf838ead7a2f0c3752a8a3d9174,DEL,DEL,f273d290394c25de48ae250bb433b67db1be64de28cf498f944fb3d87a5918ba,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12431,e1ed6e4dcb39461c7ea213a01d76296f7eaf61547299f8c48726af4d445336e4,a10f60ec68266d467c92b096da4e3e4a413205dbdc55f4302a7bec81147214b7,36ce924c259d6ecdafbf20e4c9faf6b1cbc22f07ffc8618f78f3e9d5c1608da8,DEL,DEL,86ca54b0fd5c249fa6b078c08285b0a31c20c432b047f2a4478044bef1155249,DEL,8eeda34ddfa8094db44c540ec20fd28b0d87f5dde40da35c74a309bf0b6843b3,5c780dc3083c4670ae65073f00233207cc6387e4358d1a45917f4af24387929a,DEL,138d0ea693121cb2511b8f9b80bb90cc15e1ca8bb9d61418659c450644d2aca7,c9aa49424086eb9280e5540754fd6a5786bf24260faf5952119d5e3d1c535c7c,DEL
13705,74733416b87c928851a167deba01a0aa46a8ae195822e088027ce295cd647c10,DEL,DEL,DEL,DEL,DEL,DEL,966ea0885d7310a3485985f3138719ff075fe41ce3c9810b285e4038727a2994,DEL,DEL,DEL,DEL,60a63afa874eac96108e464ac1719816de5ccf76863b6bc6ba3ca4d3b5f1bfad
13767,2cba5634b183b9447be91c63e1a1b8996306d93d026e805dc1dc659f5bcbf392,abd0a84afa0a38f8c9dfff4bda590bd0372784c00da8b9bd817ca3c77a513037,6676f696fb4852b752df52e30eaea52d0aa110be2e5855efaf625bda78a14e0f,DEL,9c7d44690230ebf8a05dd70c0840f74a585ad40d30dde8717390f7cda489afea,400a8d418b9c9abee3c3975b101a1a1222c5008779d17e5be3ef055a85d9d5fb,eb892012ec407a1e28eab57edf3650f8db390cb1627ce153e5c6b363ac4c4c02,54e0357e5652465ac6f003b00afb39a748be3ff5a23078b2ba3d79c1df75703f,c1ccda02113891819f0c579cde63b03dbb2bd10ebc5a902384be60a41db90416,9c23bad4da2b594d00825e2ff76b1319b72d9282a4dfeeb8a237f65b05d9240e,1aa24e9882a49e62a11bc1e3cd7d307075907f3fbf621a6ec40a6d1872372f64,df7a9f93c736415da7a95f924a4fa63fd418b23875e34de32684caa728f3a566,9602359829347cac10b9e0e9fe6290147f1c3fc0f6cff7cc72dbd7480cb2fc52
17924,22a580a488c6b2b48d5cf4b88106d519795c351c857fa9f6205fa10b9f5a62aa,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,d0ead46a32b3b9ff50811c7e0a0bcfb73212eaad247a5af533aab862d99a4989,f645e0524f3c9efb3bfd3a5200dcc136a94536168e407b7a351d1e8f0dd8ec75,DEL
13448,15338ab200b7040cd728f9318528af6f308fd0df2e38796c612f4e95fd955d06,DEL,DEL,DEL,DEL,363832b2ece22c99a02d5ada055b1722e014c7f2234c89cd00fecb17d5a8d678,DEL,DEL,DEL,e66962cf154102a312b42db344fe7d88da9370683787b15cbf39ca35e717509a,DEL,0e475fcb7aede5d0142d1e93c093289c7bbd244034ba678946ab03ff872e0beb,DEL
15862,716913160b783038ead183cdf2f83ef7b7f55946ba0f0c22bb2e69cbc9b9878d,DEL,DEL,DEL,DEL,047ced54a3fe38e5eb7e1252e96c869bc6179db65754c065e438a4106fe36f6b,DEL,DEL,1176d55178e5a4c241c5d1dfa043125319f68ed4e25db6a8e48a87822fd13e61,DEL,DEL,DEL,6f164541cd7220c0c179b3899f85abb5835df586beeaf08390b2a45f0da3971b
15513,09fc32e74a3e7c69eaa39dda0473116b8ac4ce4ab5523e8e545a7343daa48958,d123ace815081e2f5c9f625c81f3f6c47102881e6ccbb2cc8f0792e983912781,DEL,654a986fbf14dbbd6f89f643dead887f2d06794ff1de121d8d48ef301cd74277,DEL,cf464ead0e75e763369a0ea5656c517b6943788e2f02c2c37b19fe4451d26484,e19c97f20f918fd4332b705fd794b6a4efd2b2b15c043bbe176af033c3e1943f,ed061eb036aad0c512d6d83063be85dab203c0f7c87251130b31327b41bbef4a,f6007b1abc211a2ec46f3ce061d777a83b56860d43a67b1dcd4e0373fa294fcd,ff5527c9d21fd531619eac8c73293917b914efa6e18ff6e9f13be618cd1f4e4e,f55ef79b4ab641a95d712549babb7ad7dd56836ae81925b8b1d47b048361e43b,5bfa0041d0ab310469e36ff0760ec58fbd15577ce1b2b3c53713a53d20d1a9d3,DEL
16218,9de0f8b5aed471dcf6ca36fcf02fafc28b9a77980e704c17a8af6633af918bb4,DEL,DEL,b67e0061891b23dd1533ec2cf6cdf6c154aa46b4feb3ba789119e9584e2c3d3a,DEL,038a66700ca91c5cb6f27c81ccfa07b4b71a7f16c229ac6bc7792688800cc0f7,DEL,6d56406be56dd7b0536f2a82171e2db77567ce665ef02eda6b757b887735df46,e3e6f468a97299db750423a0d5dbb4e95ea6105fe4c055287942477262ee5150,DEL,DEL,114df51b3180cffe6170f589d2946711ed00c4d1fe6fff21b1285beed6b2b3e6,DEL
14045,d4414397311a6d8f4dde0c4053fc4dc4aab5ed049a89411326391cfa34a0deb5,6c673fa73fbb17330af99327961e4e4697c9d11e8fbaf828a88f271e70781239,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
