,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,20a49a06083afccec7aae2d02ba752e76cf808df02382734837dfeae4fcf98a0,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,c8cd9a55019e03c3fc9fdd41ed70a45b4684583e8f25ee2562ec4ec013798d4d,DEL,ed9485ad0c7c7469a1ce1cdeb4a6431c0eabbde697b1838f4808764d45a73061,8c86619a8145fa2061bd88bfce62ddc97e2a28f5386b738aae4615d6fb255ce6,DEL,1261d0c005749d4deb87f07ce57afe6a1a1eeeccfc8fbf95f1fc8e7d050c56ba,f5dbddf8979d064886b2c02d2fb613bd1d7c7bca887ecd2ec34d3b1012c4e1bf,DEL,06e996611e892ef488f185422479b8ada65f631e41e9dc51bcf2bdf8d216fee3,DEL,d2cefdde6c45ab263d17e3e1068a409d268bda3a84e1df463bf26f68f5b0467a,44a221fae0f2e70ced14fb21b96a18b3647cade28547a29a730d6077f362c728,DEL
12583,4b33e0e132c4a30c7b9aefbda971fb52dc8b6df898466fda6ebabd7f7afc93a1,66c2abc9c6da2a05dab722385d4cea1de0f60730b0d89fbe63e501bfe23c23f3,5d9cc65be5c77267605c158d2f7cb0d2ae0e7104c84ce3e88e6814d4f5f611ab,58c09b71c997748d98f454f4fc93a1f129e49cf9cd6ffb0b36f76beb7e5e2044,DEL,53ac4ee261bbb503671740352012598bcc3a22c224518ffe413d4da85e09e4f4,6495d6431b46cbe17cf9891895ea9fbb58e75bb30a5c71a93fa9ca858afc4abc,67c4dfaed8d6dbda84a005ba9467c78a8e171bbd90c0d0d4ec7756b176a109a6,5e88a441611dbe9d11968ed146310554711c25251c9baf3d544e3e9a91586710,a587c6b7f2fbcc2640bb6603fe1a12d95684e026c630a30b75045fd6d658ede6,dca8be212a97a5504bec041ccb32ddd5ee9c140813015ee8552fad33be3f7006,dcf460ca9a12b909f5178949a90c1993f2cbda6d205125dbfed3de821edc7810,d40b8c31ab15bb585b077b9a40abf0b3d3ec3b66015e96bd1115fed6df239e79
13748,bb76909d1305911a356bae9786607826e3808eeec6f2022456f605a1a0e2ea4d,DEL,DEL,DEL,77792c776845f8b8f0e1be58bae7722a72c02eb218c91b27b781946ae6ab5e7f,DEL,DEL,DEL,DEL,04630b065ed91e5545bea2666bd8920a6a6dbefe8e0d5b74f45f10c051ce82cc,DEL,DEL,DEL
15100,2991c6b08e0e7f25cb597325129b5c536a91577d4f3c191162132d842656682f,4ba6072acafed986b4fa46c482fa52dfd405cd941ee33a868cbf99a401dfd9dc,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,fb65f545bc2af253688e819053bfb4fcf25efcb30c0f2aa3675f1242f626b994,118fbfcad9ca40f08d5f1201be78647a079647d8a9c36cb422564b1f4f07c386,DEL,143259af750bc9d487e0ee498b2dacd2adc4908f790f3445e4d908b68ffe402b,42ff40bfa2f320e67c64a1fbef142ab111de573eb1d0297c4a4d69749661b7c3,DEL,d6abd29d7f75070d7845ab84d5965f023e3b31a44a7d77a9c160a1ee318c66f4,DEL,DEL,705fd1c316fb91c96fbb974071d7ed4a80723ac51fb62feda1d4fcaa1550982f,DEL,bf4f320001007b17fdbe0934518f3ec6ec3bb379bef813a934a48e6cb7137ef7,DEL
14688,d5777102eaa4c64d6ed94293dae87480e07ef7c9272f6d2bd57f721cc1343d1a,42c8dca5d80bae7512835be3e6ac40dfc501d9f347a31bd391e727173cd1d402,10ba6deab34fd6eeb7d4b15354fd0159f9dd7dc00c5090ae036252b6f4cc77a2,3cfadde0ec0794b4096071a15f9f3bafd93ec6e2b089a6b716a8e157608a8807,68a160e341f0289e71179b572653da4096b4779ed5ffffb1ddeb1b2536fce8c5,d06f167c5daf8cf91112c81a2c80cede2348f52083183371a9d982812c9ef68e,c8303826f9f2c0fca727b3f41c017c657196e788784e0d3d3b7989026227baf9,894c0ee66263e974354dc6a93fe8abe19bb9418855f24ee3319556ff2015183f,26b17fb00cfc0c5ad290514aa4acd94e8a9e65843e565897eb6f4f87a7c7fd14,37497ab5dc829bbe26190446ee23d43fa3ac7ee4674c6964f9cc612d31f54c21,7f935bc7b7878185ab38112f64e96c034ef8b301ae277db6f1ab727ec77dc162,DEL,3a87e2cdf9f013d4ee3c9b5f958799195e5dbaf73e14162f6479bbd781070654
17809,fde929c53d5d85dd0a085c3a4d87f678a462b0979c02486d99a17ca9d5764e10,DEL,76f6210c8fdaf15516d5bd18dd045dd0dc02bf9fa31232fbf6ca1154979bb26d,DEL,ffe7c8f75c43249ad3719e06c471c1ead90a0bed838795381e0e9456eff08625,5b51b4c0d5789da9aeadc5a6d8db4a382d85da51be73ce8097020e28820288f6,9434765de454a498282e4a78daf7b5f6a78acfa620ebe1ef597622e5bbbbd7fc,DEL,cb993225eaeb8c0162e75b9c7e30a90ce577095ac7f46e5ebff4c67d6ecd39cc,DEL,e820a80a4a5826ded1b67e547b29fc1ba9da363c3536f1bfc885a463d8f58a6c,463c20a9ae0e10ce8dde15dc72c4c05fec98941cc493d36bc3484d7e2e020210,DEL
16098,4f7d0a248e849a53e9e2f3fa702a4628daa569bdf31d140eb195b5ca21380479,DEL,4c77f993ffc76feebb2fff9fd326ef4106537c0a64fc13aeec6cf7777c2ac618,DEL,b5cb056629f21e389ab6e24d09aa75b127789895809df3a9020b7dd9a6136681,DEL,15641d67528ec1580624f67ee4e08e9280a7419a7c6df55095f26a808e9a8f98,ce6a2bd6fbdc74d2a215ddac6dc00067b14f4399f077b199c90f6e763cec84f0,b48328617d35a8afccd9ad68a729aa20a5e8a4596e05118ca55c72b7c7de3db1,a99d99e32f5b015357f55b0099565814898b2a466a22832a55803356ad3223c6,DEL,DEL,DEL
18074,e89e8908b9e48b58cc273f8d80b3eac59c430cdaa2ddbda5cf6488a21f0a02b6,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17420,6eb802693470ad209e07f1ee6923ee3677273a9de7e1935297c521cc8f3f5016,DEL,DEL,DEL,DEL,DEL,d551b28b29beab141b2ec75cbfd3296766ef2767cbbf38e97f19f90fd74d38b9,DEL,DEL,DEL,cb2fedecaf5e25e46396f6db620712959352c769e48242d4017ef481498fd86e,DEL,DEL
16029,629659b0ede7fc3aac6258911d096f1008acecd63f6fd14daca48bb7ac3d0525,96273f4072dd8180bf07e2d0deede90fbbe482bb8a44fa3019b3e3dc7059d443,b95d125df13a415030950e3afd36cd0141a6d19aca94de5a6367a9b25ab3369e,7198309251ab9e0a5488ab7f99bdb068889c8aa2c67ab1ac038ed5212ed73479,545e8648d676890f20b251ab890e7fda7f339524bb803ae2c8208c05ca7115c8,cb68343c8bb1b23ba136386ff2f50cd3c715766fc12780ec804d606cc2517bd2,f4da5c2f4d04a72ce725f51589ecff83f31e02c8ae3d2f7a17d906d79d04e358,c0c5fdd35e0fa436abe26a009fe8e8db2f047694b0ce44dabcca75eb9bd7b733,03fdea815c5de86688ff69377b62b7a2dd688fc0b7bd7057e91cf3ad1e728ba4,6483f92116deb64e65eadbb382ea8146628ff67c8bd53a520b925396b575a0b6,af96b4a25399ddba06f420d06784bed2b63093697b82ced927f74eeda88e52e5,3001e7cc2e8d41f7dec287437bb457f892d73aa04a37536bc2e522175364c487,DEL
16250,f96a9fd6f73011f9031c6e3e497ba72130d77dfdbf5448158d8485dcf5908918,DEL,DEL,a10b7d1161be09542422156327e1adbfbbc2cf5ec019d37afb64c2a4f4670ba6,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12431,0e5f98840bd498ebe2f18f8a2a6c4b074dc32d514e2275555aa9836dd13cdd52,2253b42a4ee6f888d75bc44837012db00635bbc49d76f47a99eac8d5292b0e78,674a660766e7a7fdff37b2bb772dc52d2c0b7297cc2569342dedb07346eb5081,DEL,DEL,6fe0c0ad07dcb981eab752d3140fd29a22a359886efcffea91ac8367cbb6ce9c,DEL,ff82b7fb0972378150ad88e45d46a3d91a65c1a170bffdaafc5d6123bd856b5b,4d847c6cba4b7c4c1f0966b76c00ea1bc202d3ba8a6ac882f27e8cfb45e385b2,DEL,440cc49575efde572c7442dbc892aff237c89337068b21d999b635d4912cd035,9d580b307d601342062b930247cded1683d0c1f896fb5ef042b8596b6b593b1a,DEL
13705,657e239cffe3dd2e89b82cf01c19be64c99dc5841a36635fe9adcb786726d108,DEL,DEL,DEL,DEL,DEL,DEL,46bb741f204e0ca2f9895b91cac40899babd0b556533e3cc72077fc257be8df4,DEL,DEL,DEL,DEL,3c8651bfda81b56ad9649928d80c94b6a625b3fb11b0d0040d338bdd149741ef
13767,32cd20a0cb216f83a60864899de6c6d2ad65d57edb6c60f70bff8b03e8156157,2948828c695d3cfb26ca9f4d341dde0fd1bb4d439739a8b2555de4656f4b5cb4,0da9a15b7c24c9e4fe36063eaa98d3c456b60e01f220887c2d4a3c4fc2500e5d,DEL,927ef4f281495879bca9a5299b57576bcc07bfb56aaead5e70e9c972e4f8022d,d33c162eff0403ea81490af5229d8d4af8038a2eae97b95b8b1dd1ed7a307605,1653f89d8cfa420ee6eeb3669e7447017ed96f4c478044a6e39062aef0d91124,86bb4b951add38868385b48e755f35d60b235e6123c5c5bdec2656a39c0cf052,e024728296bf3fbdcb8f716a046fb679df65299196fffb4537ff139cbe28f604,374029372ff9cd0ed385f7a3b4213f9e68ab9796847858a310acfc89fac97109,1714b4be8fe0c5536b727e61c097c9284e36d82501a0883f779279d989bad2a8,067cdf1f1015597af760c8ace46c81cd25bd40598a590f5e81a104138c3187ac,1ba50d57aa356a0f4a652dbc175f7c1d429b07d4a9cc19774a9923b65d987817
17924,82d7809a21ead1a8026a3b8dc3dd0ab4f53faa8902e1a1146a80d5330ecb4a06,DEL,a5b7ec0239c3b022d91e90a48f51911a70488ad785833862ec720f1899f599db,DEL,DEL,DEL,DEL,DEL,DEL,DEL,539c252e2a52018f548b82b6c2b18d9aedb307b9f9f0e524f21d63512bbb34c8,cd8061e2f451c0efef4276604d95b229c1f77cd0b0633eaabd86b11639a80394,DEL
13448,52fbdd2d2a0fe12299b74ee6d409038b6260dd314ca9a808555daf808bf28094,DEL,DEL,DEL,DEL,6b979c79d266900003c1aab1987ffd8f0ac542a97a7925e30d58eb0482e442cd,DEL,DEL,DEL,a0bfefde154c55fb4109b36063e4d172d4ddf6cb4529e0171687e5ef0da3de70,DEL,75967c35d96d9fd9841ac5e48d3ae900bd92487b543706f02fe20f9cb2f6a493,DEL
15862,1d2175b0400ff1928e13b55058492db7371b37355b931e5da35d5bb39c0ec7cd,DEL,DEL,DEL,DEL,16a49575645ea66481c49de06d4334978e70f20789791f429c6f6eee5ab77d28,DEL,DEL,754676bc15109279a625d75d8177f6de8971b3af21533a5f22d9ad6186c2bab9,DEL,DEL,DEL,044ce8157edc0c04a30600ba5151578dfe42dfb394acf92bace5ee24491ecf53
15513,570fd856c972ddf282b2ddc6711cd57276a9c53e74eaa1a79ace9febdcf95290,17391a9780847f153ffd4b76176e7b47202439c6de2cf161d1537cdb291f7ad3,DEL,154dce81ee5edf2e0009ede7860ca937bfc18a60c6205588936bc5d7e3b94999,DEL,5f42c5d78beecee8638157f70d0064f89807e61aed8f32b7764c64f593b68bf5,c689ebc3e5f86a4b63928a8feabaedb1f2e2a5ac4b6b37dfbdcefc48b938bb42,b9fc228f323cef615462dc5b85eb7ec513a10b3fcb1390ed124afc8171f55f5a,fd61aa6f720eb54fea13c1620c2afb78d3cb4f36ef36c0fc8177ac70688ff6c2,97572e29ccfd43d7cfec7215682fec788cef29d26adadcabd967fbf05a2a2ce5,66df934cc97a1ada666f5f9b41cb599857fc75fcad0aa2266c144bcb2c7cd078,a6f748a32a976dd299fe2c099a38fd7c3942253a5740da30d05affbb44e854ae,DEL
16218,5fd1ea8ed5986c09202b86f71b6103192a2a68836284f08eb26c8f4c28dfcc15,DEL,DEL,7460f031f80786900718e87de46f1ce2babeb256a8089f44c4946748fcc5f1e2,DEL,8bd931587ace37b374650864865b0ea5aaf6764a07790869032117e2a6038b1d,DEL,522bc4bd11258bd3bdc82de34189a57e48ecce550ee4ac6c2df1490a14a4b8ce,315bb639d3e54ef0272d73d02d68f033d3aceedc73f520672608a3bc8a8d9b18,DEL,DEL,f02ad4bbffb0632054fa611c3f08258ffb82dcd730846686a60b539c552893e6,DEL
14045,0b6237502a599e5a9c5619b7c9aa85347ca1d3ddfd6ebeeba94955aa98fff5eb,874793e4f9fc47042f6f55dc2e9d920f526451ef91bd51e7d6ebe05ade9b4a54,DEL,DEL,DEL,DEL,DEL,DEL,ec63e870ab527a1177e5c7c451e698de91b87fd3b094183030f47aac7e4fd2e1,DEL,DEL,DEL,DEL
14307,830df05b96eb970c571cb61f6cf719da7230a3d2dbb8861a376a188d5aeef737,498902de6417fc40c558dfe9d3032cef3869839fff870a0fc05156f0e3a3fffa,DEL,DEL,DEL,3e9005dcaf0a436df25b912ec6ca6255857257fc873df5e8c23ad1e56f7b8482,DEL,ae363045bdc6a409b13d7cd09277f8cb9d5524c3217be3432cdc45f815e5f8ef,DEL,61c1b1dc600733fb6409fbe7cfaead4df80087a0847fbdf8b31ca4874b223a45,DEL,DEL,DEL
17908,f02e41fe2edb094b7102b411aced228961ec9deef20114d4e3b2ff63084abc93,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12838,cf054169a3bfb1abd74d668757cf8613b55d9e19cd627c2d7cf7b2e78aaf295e,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,9c14f6e621d0164107eb578ff9db87e7867a40fa54151bbaf28f62dc4354f1fd,DEL
13255,ef0fe16fe3e4eb25207d3855f152ed7825dbd004874b339aabe05e059d68443d,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,02d1104060cce332fb282447405f49659045ee8d9eab7460698cfb72da3383a1,DEL
16583,bf52db4755edd4bd44cb63ba7711095bd3162da877e15ddd8b6256fdb5ad43c1,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
18085,fecdf2476813588a97032d201e11b960ddd07c0cf489540bc3d0a927fe03420c,287574d95c493b70249360212ddd542369baf6f740eab2ec3960903ee66e7bf5,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13758,b9c6c9a32e7db1f56ba61c47ed09077572e79ddd83f325a199be226213eb07fb,1b046cf62b9260a1c3612ffd6514923784eb9d795f4e548a2a56bdee2da47a6d,DEL,DEL,036a46defd73ec4efff204bb902162d90baf6e44129f1b78ad7a3d717785357f,e929071cb17aadb1e4db4430da904528b29fd77f063091d13b190d950b157c54,DEL,DEL,DEL,DEL,DEL,a310171e056b42e146324717111ab0c1e04aea7bfa03a5a6ae7a1d09754b5dfc,DEL
15983,8370ad74b573278e6e29f66d569369fa159c0eff377e31345d07777dbd928cf1,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,09b531507e827fcfb50b01118d0e284870c8c6bd198aa16ed0d87b8e7812d9f2,DEL
14849,ef991d6e804cefe3c188301427b19d3288819711e2a58bf833e1e38c7042d5b9,95c5664c23d40334b40d24e51181cdbeaae8d86d4012eee4c31def673768f137,a9b99de8e88c48b32b31c26ba11ef420d614143b8edf30ba0319292d8b7d98c1,DEL,97f90e43ac119448d2b919b354a4a03e2a4a61187037310b2c973a5da3ae3f48,c8a0e69a893b2771cc3483b12994f7b557bce4ce441e1245f94263b9083879d4,e72843c47470188204bdc608967ee245b8004f93e6c682fe9014e4b7c7fa5a6c,0c31e5933f8b54104c8ebc3d97a454ca27b599de86a8e30373faa738488dc24c,e3c402133f250b4315c4fcd7fefcd5bc5671fb86b53a5b49292eb437ffc378a7,300eaaf8d5a91d43b8c8d8070394cb7c9e704ee8c55277e5b05e829cdf92960e,c699148238acd7a0bfc0ea34ba7bdf84bae98593ed01b2a9b0b4f2cce4d7c80b,4a7ec2cb4dfd4cb7b8240227e32f25a8922a5e47ab3d391677faea4db53438db,DEL
17968,02710e410b51ecac4740a797a155e12726d858c096d9d6adf133168471774653,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
16210,007cf35bc6450493f319a23bb8d4e8f4187a0d26698bbf8fe1925ddf872a6f85,0004734d86d43943858ab23f8648428590295931f8b7a26aec0394b0fa724dc6,c16076fe501b063d0cbe2291292827d7404b3bb91769d356410fbca575e41299,DEL,DEL,ac1bc78c96faaa05990cf8b7eeede3c8edaccaba14724d6371e56a826d3d1d10,DEL,DEL,9d78ea4d1703d1996efc88773bab47eee438a49f4a272b18911c3a20f7ffffb3,ca04967fe173f4a004cc73d0eaa809851536b884ccbaf590bf717254dcf3b446,02293eb147008b2857a2265eeb2df508610d0bda45697dfe217ae7871ad45a37,bb6c8cd016b698093756af5f8c2d174c7994c699564b87e9d325d497c6863335,c344d22066320ca7a1e35af2f081d074e29db42997be5527719b399753d8dadf
17897,845fe90b79ffdeecab06a200094081d995bc762095e218668dd843568cab96c6,DEL,DEL,DEL,DEL,DEL,10d516d22fbbf0a183fb1493418cd9b4750dc419506de9e832c4bde0f1ff85aa,DEL,DEL,DEL,DEL,DEL,DEL
17377,5decba07b22abb27d0cede69f852b2f8e721ccd51b74dd7bc69c5c7c9566a361,DEL,12182cb2136b326b23cfbb0425e518159da6cbc2b7a680552984eb9abfd122e3,0e1cb7ddab13328cf72a4c8cf76bd598ba8073144f89f8fb4028f505e7451cdd,DEL,DEL,f84e626f18fae093e54b58041ffeca99085e5eae47fee400f6004922d6de9ccd,DEL,01b8812c29cedeaa9ff581849084d9df2bbc40f7a83c66b51e1bd1353781c852,142d0da83dc112c2e0103005b9c90d72331f2a8b98718f06a7084ad9402fef64,ec0f442083c51831035bebb61b8ab2006ed9f38d0bbb704802b4a83ff421679c,bb07198e37c1c9f92e89d89dc684a86db1e77b6bd957157f64455fc3f0d5aa63,DEL
16552,16afa871bb26978c79946c683d0a3e829156126f40e6d586454dafc8af7bab60,DEL,DEL,DEL,73c00128b9fe48d41c54f06fc5795e4ecf0e45a838a0e26f8a855c2c0dfaac4c,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17181,619a2bd79709a560a5147b98b988252df4a16bea1a6bac081296aaafd6639a66,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,91e9ebde778285ad7d60ca7ac199d11eae2881c63d4da468d3f512bf295b318d,DEL,DEL
