,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,b707fbff42a17f9503f6e59e6c6f10953742325704645a9fac93dabc4147e6fc,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,f763c320ffb13f7d8de5a20fc71baf2da17617a8220cd8b6b875503e37efb0ee,DEL,d6eb683af61a075c52e617d11c8311e47d00a337978d3a3db712c7113a09bcfb,d9dc64f0072e06dbe2b0e3327d057ad9eea73e770066b161f19487c0aef1bbaa,DEL,bbd1be10c10d4daa8c583197df16a51488ae61f7744362e683f75a4d9d2848dc,f64da5164902791dcbfa0c0a55f83a16b314919d994fd3212a4d8220e2e6c11e,DEL,1e58cc63b9869bf376a52f8982d9afa593d4438ab00c6f162364c59e92955e28,DEL,9a93225d9f198ed15982ecc0f8bab7624d1467e19344bc17324ff6bb9afc0b17,9d27e55c5dce0f0fa42f5641ead72309304d77b29913c642b5bdc1bdca573ea4,DEL
12583,e581ea29bf72e645a4eba92fd45ce876c2626967c9521046cfc0a2c0fe567dbe,e04630c03b03e20b7f707010a39d6e4ae68377a17a109aa5846d50b58358fa02,73e4cb6a68b315f51912cf3b8f255623eef5c66a6f9753246ce0527cff197283,3b26fee8740368e3542945230e7c130756ed6c75dc0844a3cdd368ea8b3014cb,DEL,8081ae2bb424fbcbfbbecef6810590c3502f191ab294e10b1f6668b589971c4e,8236e758025608d258927ea293a8ee66ac1af2c2e48733babf6d808875ca1cc1,82b3b805d906ade9eded79ddfcdd98b314c2f06abbbae96ea5c8e11edfb03a46,ae502404635d14c40e13fd5871f73bd67d68ec5b8b53f63c0aeb4fa9267d3cdd,27a1ac205d3ceff16c50a2ae442254967262cde8d65997e462258b6cb932f16e,59bbbb68ed2ca8ae0d398a2d71d2433b6286067e95993ceba40a394a7cd946e7,1ce24bb6a6dddb89a81a9d3e55ea5843a233e26deb2efc8506b66f4ef062a987,088e1ca9e18318ee5be052b95e53327aaa49b29df2e1a8b14894b4db40c2ff35
13748,44f5e675aa15bd895cb899da3a9907b8a7cd191d253297265fb03ed93b9b0203,DEL,DEL,DEL,8e14ef6a2255666247f4b1506a14b2a7567291bdcf26405bf796619e9f849e8a,DEL,DEL,DEL,DEL,9d2dce0ac11d53b6f131e9edb733a8747eb3fa1ba784a8a7ea77a475dc1f8198,DEL,DEL,DEL
15100,c1b5aced20a9108f91c554f900f40f0eaba0b81f7bd85fd41bc7017ee9fcaee0,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,86f3d3a47079e3adb55a5cd5938514af697dd6e1584cb735f835424fd7aea593,3f01329e85637b20be11e1d3f9726cfb3f7f7fa36b4727c05ac77d27bfd5d2c7,DEL,79c89f3a5e843e1b2f6220f3a282875005e0814a92a3608e481187516ee40019,46d779c99e91919f308d1446d73044ac4f4b91cbca6a2e992748c8b4de165413,DEL,f064a0c7abaea16fef10e613b0caa0312d7ada008cc964b3bbd4d07deb3d0b83,DEL,DEL,b1ca3d2b455a3e11342d2a272b1877188328c9bd23102f9bfc3c75524840b3e9,DEL,83090c9a1f2610b60649d3c7cf7eeb41e8be0c4a72aa32d86f3bd4cbb42b6c55,DEL
14688,f44517f7b75006a3fc0acd3aadc3daa7da2bc47012d21bff3626dcca5b0a332d,46e5ffe5292f3e253c3f0afebfc2e73324ca8b01a1cf03fbb377d3a18d8c6f86,934d0a2493813e9375ea9e4e22072821f8e66fe742d01d05f90f2de4bc0c6ae3,ae445137e93bd22b18f5fb608f02b2ce2d63a95704b98e440eb04395d780225d,a30102da9b629e30a333c4ecbc9aabffba27b7148f9044de2854b618af117718,ae4576d1e45cc786fc72452b7d469a8f585c1faf24f7bc8f24199590400998ec,d9d83cb28c4e532fb5826bfd50d27c55a1adf0ec4de53fc23f18d63ab24f0715,0f6a856839adf913eeed9be42fb108cbccaa0337bfc17c8bb2da20c086582ef7,70435024f0e470d369dd0b09633fa0557034e6f36ab35ddb9915b4e6f816c762,9f5a6350747cda37503e07516d7a2d6cfb9e5cd915ad947cd13c01fcf7a5f6da,8fa0999ecf65d49d2752abd5817668abf801ff0cc7a1761b539106da225ba0bf,DEL,f4ec542ef0307dd365b4d50237af502c6e97f43ca94c2482d33f7cb876ebfd27
17809,f66db69d98977e3746e4963fe990a33fb09fe878ead5e876e78b992b3d7fbe22,DEL,d1e3ccb78d9452a39a8c6dbf200d49f841520fd0e52d5e612b4269f8b2632890,DEL,de0c64ae19471a4d06e3fac777386bd8ebafd4048c89783dde279af5aab297cf,3db80d7e74915692602a54747b8a0cc4f6eca7c5ea75f1fc3d1d5be634a8b0fa,ae5f01e9d35a097e1bf4bf938abedad9d66401e4458726dd16ea0f2dfea96bf0,DEL,a9758541c6d820bc8b5d31e9980192956aa13ab7b18690b3eb2cdf1388787710,DEL,38f655babd598609931497a2ecc92c94e535b1471ac5eaeebcf58cfbc88f78e9,8efd4b4afc3f0229d9d21300b8737d965629451f83f3970d67e64a47fd99be3a,DEL
16098,ef5e63707765aabf7777eb71f63b57dee3396ff332e882c6040b832b9cc13b22,DEL,7639b9ee61670ff247cd43f2443b3ed60598cea972c9edaff55d78d340b415fd,DEL,8a04e6e39ab3de63deb096d8adfc0c77f05be85e27730b09ed438548349b56b8,DEL,d17b4e4412fc681d89926d0cb398832516e62369d51a3b6d845d237565025d64,9d8fcb8791ea9f3f42b6cbbc40026b412e2360fbf0eb9b1c12464093d79353a4,923f00d2c77a0424f61788d1ce9be4e8d3243e04c6d7e98098fc70506c2ad682,0fe9cd8048bb1b97ceefb548c946f9b4f747bc626befd5ee4b474f6117d40fb4,DEL,DEL,DEL
18074,c882cac36e73c93dfb11bfae6e1993ea36cc754585e857c09a7ba3a664d36444,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
