,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,7371908aedff270783a096bdf0580f56dcc7b60f4ff6fd335909f9e65801ffc6,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,4ae73a2a36b9165ab3509ec6973308b6d5c2567c1342d01d0c7d8be2c02074b8,DEL,a3425a4cddc6e5c9a27460b3b2d82e498780cc634e03bbe9d78e59855a5dfe22,030c015ed09095b034ec225e07a70c3de93b0ed627f5725ba11fff6d7d98542a,DEL,041a892c67ada7b5b808485d0c3dd098819e84ca8d2c48f7478eb6af8d762fee,24a719d1b05d77c36b52cf5d1c820ac02bc03f0cac81ca28776ef635a307adeb,DEL,dcdd3ac3f2a44638f5bfa435bb7922e44ab4c4eb39986982f40a1092ed11c451,DEL,6f97354208542832b8380677df05395bbff8aab755df73ed2450ef75c39adaae,aa2f4b0ab25c2e978f4acb9f6f2358953c55e4f190771e964470d50e58876c95,DEL
12583,f5542f940ab15eb20fdfa279fe1e480d34b70dccbe23bf351881e795b1d658d6,081a74e73007dea6299ccbcb2e9e22a357430f1d7be51187ba726470bf702837,0c9adc780fe670ee1e2c873f78a24d91c2128499e895b8716e658522e3dedba8,207ab9f9585b66e1e4a6f1031a0306b6882fd1e9945f1f1bfa6101f0c1409e3e,DEL,8ffe43b02f42c6e9eee91ac49c4f7c8941e14ce85892de08de8e8cb6974f782c,769ea2196969da65821764fc9825ac4a3067c1a393081302b56b23739bece39a,feacfad83f54696abce00516d76af695c22bc1251cd87cf59775a02d6723d8bc,bfe6b02b05eeb7a9ff88a886bd95b851e1a440e66b776721a473cf4fb8d958d0,8dbedd707cfe186662bc1cdb8292b3258d1ca92c6b36d4150342f53db1d21635,f7738167c2f0a115f9ed3aaf4ea9a6a3dbabecd3abdae4f8b69ebe90ce5898af,69bfb5e87f6db0ef42c84be2c7f5f67b2c2594ce02bff862e1470277d8977384,4106ce817e4aa54f7760963fffd01dcc26adf55da9767a7b6fc93bd97c930ac8
13748,5d36d56d4b788c7e53714d534cec0c86fbc4a719913f6a6285f5e1fa33252780,DEL,DEL,DEL,2820e18dc0a4b8765439f7582cc7337a51388cd531f9bbe303d8f36c22e95c35,DEL,DEL,DEL,DEL,5df3c616cb359b2335dfc3a7b680d845c993530d446a17af7561d69e2207c6c7,DEL,DEL,DEL
15100,3c86afca5e2cfbb3d253cf6b86033ea65e15a44fda3ec649ede614291d439388,4285becf7441d617fc1aded9f1cc5f9221e716adcbebb05ab489c599ad36cc2c,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,333df4e89aec63a19f89dbe88ae160b63e8c50f77f872583720a1d6c8fb65e4d,d5940ab5245486f6a784afe8be5d30c8ad08343294068f67a74621edbe329df3,DEL,d8169a6360df255f5f1d5ebd7120acf567ef7b76a73d938b54c7ab6498968bf7,28fc840c17c2b5fbb59f07b2eddf47557dd2366c4e3c7dabc4247295e15652c2,DEL,25a9ef6ac056e44553f1e7670101ae3a71a3a391e2182480454e66cc2acc355c,DEL,DEL,598ad3f8395f0668964b95ee20282896aa30fdb653d5281330728cdbdb5c224e,DEL,c8e5e3fbb5075d474598a199f03bd01e4c97b31775187effe5176f304d62e970,DEL
14688,9acfdeeb7fdb8c9f1952fe3132dc5d390a7544a17ba58ef5a6bef13e5d3f4dce,f61e7c7c68472eb391f66cc8bf616dfc3ff791bf65006a3067deeffa3d3aa40b,1d9c307cb9e093458f1ce248b909295460c8bd3bcfa32af825d48eeacbbf9aa4,07697195f376bde609c5f424891f970e7892b6b4c8467f93f67156c61f79195e,2e10b9f8ac03d351bb670fdf5efdd68795f34517276b95500e6697742aa3a60d,61655a3760c5c74051276218f60712bf0c30ea5cd6a9e28b35d7ee093d938a16,3b05ff105b519be8701c8deeaf37ba818f5e793f03fea3daa3509684123bb900,1909a9926bb4ad3b2a3ea3751cb0ad59827454882c4ad82c1539d066a9eb74a7,44bc094fcc839e5298a1ca591b8bac06a1ef89d127cffd0a7eff1739fa6f86d2,0f4a45560e6e4d28f0e2926075d2ecf3b6d633b38c6245664775a2f7527b5a60,0fcaea46094f2c0960e4f7538f678ef59e9f3cc1f404d48693fb076c1b869f4f,DEL,ffb97da61ad3f71c0322f9021d6f6f333f8677048dd9d5230dc44ea32576be83
17809,3210353a5f1ab3242cdc01543c127636ec85377f44fbd3c3b387ac50b25dd6f0,DEL,44cd434ce04907e6c767a1ebd200d2e762662ef42d77cdf677a39b1420bb9962,DEL,13c0b104fd17cdf82f37b9a7790f1e72f79bddca262a420d7618b561f35bd892,4c0f2005cc8aa71e38103b116862f4a5d277e6a8307e0638b1448dbdfc697a7b,3ebf851ddf8c5c76bcb202eaf84fe1492e37612a0e3b717ec26ea1c1297de6c0,DEL,a5adf6e04c5f82d6ebdd18c200ac6968e3990020c21f94ecc2a1d4c2370fd98e,DEL,a591140e384b96a3660ae16f6d4861ccf9d8308953a239b4ced3b331aa62ac41,b336bf9fe5367908461c13916a23297d5af1feca927bede09d98db28438b8f73,DEL
16098,150ffe886b2919596b6c03ec539fd52e65dd66a54fedc44ba76a56d4f110f064,DEL,60949540936e665960a08a9a8c44be6d11beb20f35ab96e65d6238cf790e0235,DEL,f4282514018bc619eff0e3fdbcb40072f31b3aad9a1acf1a06ad7e16bc39584f,DEL,ce28a4030c7fa706acf1d359fe17374517ecb1fc7e9fa0da21ac5582e345fae8,fcf806552c8291419539bb09adee9cd0a0f72bb4ae5bc882e22599eb60591d9e,5774b6750f1443738ffe62ba8c51d898c71da016acf6ed31abe01341b1626da6,aa128612ae7efa72a619ee816c1606bd3c649450a026a733ef41ba223b9a5c03,DEL,DEL,DEL
18074,4f5e46a989251d69a999f6f0b1ff95350146438058d95114c4106a668cac9c63,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17420,3cfc4bcc3f18ca4d80311494ed8aecac6abc864583756c924304f86a415fc575,DEL,DEL,DEL,DEL,DEL,ed88e4446b1d4eef0238fbba5e35638c9ed3df0adf20a28a4eeef59d955ab4fc,DEL,DEL,DEL,c253f17788f371144059e47b88b81889e4e77a450c6e062fdff38e9ac790b2c1,DEL,DEL
16029,a03dbc2b093e69c802c5db46a830518da0a0cf7ce7780ea7368a0f76b29e97a8,8dd8e03e35eff817a7429a002dace4ee929f271dfe4024d81be2f973e59d08d8,6ab15bf2736cf5cb7fb13055cfde0108cb248f2fb02ff5e733a0c606e3fc7889,1fa849121d26eb48968bc74d276a64c5bc91e9e12936ebca089a5672786f58d1,30fb6a1432fbd72bd60f98daa875c620706f1c9ff2cbeb31c5de7142db7bccb5,4f1563d708d5764662079aae126bf4e8fd3f5583579f2bcdb7c66ed8cb271393,22b0f893b11afc2ff4baea29f0f9ad0de5a2b4bfd676fd6f30eb928bca352feb,95defbf901358217ab79c72ca05b93779ffe3c480a6d851665ce0d32581cff93,88d17a0e095fb2c0828986f445a82e424c57d9bdc3bb16f141fde26e2895a315,de0f35277f0617021e3ba638fcdd3473418443056fb41103caea65949d9ce07d,9fa443af834125389c8586150303973d817bf9e88107996104de6f93b6f936b8,31bdfd4e1fd248873201ac88e9835bde9d9c465cfdbee293e3a4d3e864607abe,DEL
