,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,f5f2cec9419ffecf9b4a3770825de0eb252a3effc30a2527bf7419e39b3d4034,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,4b74c4b4ac3e2ae04f218dcfe03a4c68fd2e253d449ef8fe2f4e48dbc75556d3,DEL,3d0683b958f50d1ca07094396c523ee4932d421f44ab1b7b6393b12e58471b83,c4eb80813db983b97f23223aa0b1923aa61a92dbf81ff00c41772755ea7f376c,DEL,6faf95ed2bd1a63f5b58b139e7300c6de6ebe5ab0d943c707f67087d87e31cce,f303c23c6f31dcab26ea666f19f5cb590a2fb0bb9a098e7beffb370cc79c6de4,DEL,7a274a9a771f18743648a81671fca1c70b31be1c759e35529fe1bc1c932a0f4e,DEL,31da412ca4a34c053c92d7cf47a5f36629dac5a07787a7a9e1aeead9bbfc5a87,7520ca0af8beaba87ecc7a42aeaa7102fdc985752f03c01a9979c844b2930d6e,DEL
12583,5bf931c55bd27d9c984e60ad8cac3ef8345249bca00db90616bee1b77f0ccc25,72ad9e362bf1264daef5b293d6e78327292a9a53a14ed759cea0dc30079be01d,707ac3922b2cee7bc283a3ac9a065fe873ee7565a791cc728b435a241567f528,d0ccf0526eec07483ceb0c52079348648ff7395cd75bf4aa57efec8f3c4fff60,DEL,6ec3e2ba13af9e8fa3d99088bce130c85eb182e667e756ed6eeae61b456403d6,d3bd9012a07b173f9dd7cd0aa7dca1612ee59400d9b0f18c3981a66d3d50e095,78f33bbd4e04b4602070732d314114b4de8fb9eb6705eb32e25d620e40cc6e90,59182e2ddd830b9f721eace08ad9a6804c54b9a0d117bb4032f0a002c17c78f4,f2c851719ed268b3f3995cabf211d771a7e46f958edc4955f0e7a49ff5312ba2,26bbd1ebc0efbc4bc8a700a0a0057222eeafde9cf8dbeb381b36878a4ff691f1,4a95df453e6ebbaab0f16eca995aa93642fe8c927fed7ea81c9d4f16bd2da48a,285477f6ced71545ab8bcb816a832a32baef0c18ac698a9960e9eac20829205b
13748,7bb80a1ef89043430ed125d36f156e70ecec2856395ec9a5f8400ec0cfeee049,DEL,DEL,DEL,6d2298b1c28f5cd7280bfdf0a496b645ecebf6fe5e54fc1a52e2c3d3f787a248,DEL,DEL,DEL,DEL,08b71c50a9b1c143603e34499b42baccc6e3f5c4f3f18c1aae21a01d029bed14,DEL,DEL,DEL
15100,91b31367d1aafd4e1fd665fb8cf655640309cd72a0d053f748043792e429f7a8,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,4ddda754197898a7c4bded2533bafade0dad812ea68be33ba95bd6081e7170ee,cdfb6d297cecd66931c4de255a50ed8b2f834335920e810ea5f099b5618549ab,DEL,3ff55158cce7f974bf89c9adda4347016f3c44b4e229a988e1db98910da7b2f6,179063e47dcbbe8912e61e6957ab6483dc036719933e7ad1b9b012a65af0c18f,DEL,c1e93abafbfdea1f80638a0f8d08b0bca12213eb6bf0da56fa80cee18368f9b7,DEL,DEL,53d38761602b4d8a95571b4411aaa6bf5b042b0cb966558530861fda42800ae4,DEL,cd7b4fba15760f8b4225e2c56315ed804e25f634df99135083f970a83310bbb8,DEL
14688,2a4ae84baddba675344dc50591386da91fefeff520777be9463504652af69048,4e22c2a09ea0dfd0eec7f52af4f5eb41b3008a4a5a753d69857696489cce96e3,5fb2367a8db7148c176a92eaff33c0d6b604a6f79be4bc9ec0214ec9e4921e33,935cc21dee299039229195816ff804a6542254a5671f5b54ad440a7ed1f6b7dd,2f568907ca68c72404496c827b69430c21d250c882aee89c8ae9f868520acc92,d509dacaba72f1771daa151d1e26aedb25bbcde7e920b9de68581e3cf52ec085,96bfd07c7ae10c6f976de5c774bf827e0dbb11ca0c4088eb2b98f8b4e4fa6987,07c67ed3af1eec697f3ba99d0cd8f91d7af0d46cfe5d52381b3ec88edfeb02ad,1cf8ac67f8596913d4962de8a1a4064bed05df29d37033f085148a0ffb15cfa4,edfa48b3e73f53bbba696147001fb86d04552c03b8fb8d488398ea87c299ac24,c54564af464fa4922ecbc1eadd0a234c8823f56917830d5e85c968ea4438ff23,DEL,30a45a2077e94b1dd5ddf921ee1c6af4807f96764b849cad2784c03320cb0518
17809,15359fc9e733c6090a0d5da10eebdca3452a885b2f445e671b839eca83c48627,DEL,a26748abadb29d3fea85e54b9112211bc0cd6f5684056750dc02c9d7a02cd2e2,DEL,644b7a402a98de9316f03c31eb1c5fe3d9e7bc939e4bb0e95defb23a49eb0cd7,befdcb9cfe4d6c84f492e5000c0c10e48fcb01dbd6a9a2a7332eae7f88f715ce,aa36e0d9df42049dacc59ff395bf910758e59893faa5eabf8a96013264fd1665,DEL,18b3f0f640cbe3ec5c2a3570ad5f377865d1096398c962103829e0012877a10b,DEL,1a196ca4738633b01aa8f813490f39578442b21022d44a58fd8434e160533565,5b015e543b0a3d21c611ead43e083c1546ee3db28f73d5d82057d92105a47ce5,DEL
16098,e18e3a01f4d8486670210a6b0f7a1d7248718ded2459d88f92d5ad957f6a8d2a,DEL,9354c0360bb563c27e2c93e2ab9c36a76c9db3021dcddd0ea1614667a40f4d2b,DEL,9bb3107d698762452ed6cedab23c1c9ec01b0cb8759305010877ae47226df1f5,DEL,96f3c83d08afab847b25f0c3a77f841ad2eec66dd3de9ecb07bbd762e8d94ccf,ed9e3e5571fe6e3a3e622830955dae141331d60c80fd7b98082534bc3d3a298f,b6036f4e6060cabb30c3119aa4a52cafb50253543277d153b40ad19550ee622c,ea1e5855be97bfa7a7ed6fa52016d31f1de45db4c782245aa467e29cf286ab0c,DEL,DEL,DEL
18074,b5009e1986f4da55a2a2376f2928f099fd907cd7111af730af710549b4b80656,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
