,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,b13170ac8e7c9b6663eaf4cae9da5274749cd7f38774a3f5300286f7cfbe9c91,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,2fabaa781c32be0849350b89d97b3119c1aa4ffa329fdd4dbe6e9cd3c5212f25,DEL,c12e40d9f8ebae8f320603515b0c0db68efe61174b82e417c8d2f3c6427140b5,a21d60ae83f8a4f57b59fed09f23e9325e25092a8d1c55a27f554f61c5fe34de,DEL,2a96f2368caebab473076d64c3adf938c4cb798e34931aba1c475a0012300427,bd936036f237372ab87294735f706dfc94daea67ff9d68745e9bb98196bc6a24,DEL,71d6ae023d68873adf69524523d6c3d032ff973022cc4aede7bdaced22b6203a,DEL,0624d703f192a54483f8e857af94a137b6116a32ab8f79aec1bb0abaf44c6221,f2d84db6d7054be5f30b2ff333b14f8680fbf54ed637cec6c3938cb9d2089dd7,DEL
12583,5ba4628d2ac06383a7f08ed2ad527ba5a0bd4db801801686e8e1e9e717c1d3f6,58c9a8ebe773453d9ec37a2ac0c301e290bde5e6c7f86b567a96143d3d29a647,4445d531a28c7289665ad5bb8d8a0c01dcb00309c4a0515a50d5bd649cac2cbf,fbf99edb8eacd74607aab0d13bf63d19537ece0b79ac3bb0bb25c04fe36a2644,DEL,3c376527b270620b7dd1725fd47d7a027a64448451d02c112f8515d41537671c,f5a615dd04262ed5406eaf2d5d87ee181e3ff0c59b4bdcd7e9c7f961b78eb7e8,ddca9d4f071460eac2070e26a48549bb5e3d43d037c65f718a53736b34a9b446,a6f4365a16c4d616ddc7b0f979607f36b3b3c0a2830c398d24baac86d41d7aca,f154639ac1d0f689ba121abfdc01c415dccd80925a831b3a5390a2c0808e3abb,75aaf6d5d5cee7463805b276a84923a4ef01839303d7df6a6a544500449c07b6,44f867f30124987a78a2bf3bde838a41d1dd3837091fecb7bc13c697fc2d98da,ccf527847b4c3808a7b4c57ff5f157db53e34aafb413db1b249a3bea5faf8261
13748,11215f53d7adc577d0e94936aba235d8069f3b66894f7a0f1602f660b24b60c5,DEL,DEL,DEL,dea6a82383394722bae443544adaf31c943959e4152198cb3dd08b317e184ac8,DEL,DEL,DEL,DEL,09ff24ed3b5598e183efddff710357feba81be5b0c1298089b094adb899c2abd,DEL,DEL,DEL
15100,fbe284d859f6ce1f44848064f769efe5900a670462c593e0538dda89bdc62ac9,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,07295b1fb97194abd624143bffef9f3be97e091cac6273367262d894b512ef25,71763c71ca853bade2ceef3a1391f435c28e973f31b51af15e2e27d0bb8234b1,DEL,cb8a080511847a24a8d97f41fedfffa45bb6c7390f561731d272fcf54cad4923,62b3309af409537b673de94e80eb8c6ad4a419190482fd531274b6ea3842bd98,DEL,c6f753cec2398fb5444d6cd93c0f66233e4646426bddccbc2ffd6ed941b46cc1,DEL,DEL,e3918c2600212992e9464c33d3ee9364d353f3cbb7af90f7bfe493137b90ddbf,DEL,29941929a35c4ebcaf952ac80935eb862917ecd6daa141b50e8c770cee3e24a7,DEL
14688,3303fdce42ddec885710389666254e034d6a4b0f2dff988200f5179cabca4319,28dad63d85b899d1a2f9e4857d537879200224e9197b756cba00c2e0f7055c38,21b625a4ef0201fd689ab5e054ec96be82a7643ec45fb300c5967bb5b9efb3ce,78b84311ea7a7587e28ef49f6cbcfbfa0d21b91ae4cc9c7fe24c11d377986ae1,0ea1eb5dfc8b60d530366b07c324e0cc1691b1b6f7130fd7aa4222e396ce816c,77b60ee90dc69909542734bfd16bc68ede66b11238f7ba5b1f1965ea79e8b715,0154f9ff1b920acdfba5655d593162c459cfa3301278036f44a9a82fa0c3c05d,ea20240f4ae051920379f551f60c0352b856af00f7843b05853be4c4d733a162,c3bad34753c3918dd0684c02c0742d2984724479b6d1639a8a4e7a215de41c33,4edd983fb1b34be89e190e92839699335092a5c06e13a0b7f3749789bfabb009,fd0b26516952380d2196e0cf26b1956f0a84abc75783ee52dd5f78715fca2f91,DEL,83e704b5a45745f7b308d7e9e1544c158ef917654cafd702dd5260121b8e3358
17809,f249cb50736b83b20e5714a6ac85e33bc86a503cdf1e4f364a593f1d47de160e,DEL,64978c5e3e46b71962efd366d6af4efbc71d8a3d90d62768525be6cc8f9f04f2,DEL,f7af0f1379ce48a7126358e1613fbe4bbf0fdc0ffb90f1bad47277e137ee04ec,73b8b945ff3e128f21ffa04dfa9861688fab82e1a58536df4c24a52a0fcbb1e0,190d96e1c61a834bb2b932e7310a5ce1a2df38ba21edd3a1246f858c6e379f46,DEL,8e27217263eb6da0135e6501a9c8a570d808981e3f37d6972131c77df1ffb63a,DEL,b8548fe829ae1becf2dbf0d5df811c0393936960c2bfbc6f0b3b58d4a32dd5f1,097c7d734b08504f1599f0a25486927355b81ab938489eb58f85c405baa07385,DEL
16098,69708bebfb30df69af95b653c36119010326dae18385d1af228a5d014548b786,DEL,589a9848bb55a8fb9b5fee4caa6386f70a148677de4658d06f331ee2770d07b3,DEL,df7037ade778d43576c35a469708fa961cd4bbd0f3637d79326c7639a7ef615b,DEL,b796aa68cb608f137c42ed8ffb95ee7461922121fd302894846922c92dc41677,76b06421ccd04322d4f1fe4226cfa0f6e476fff5dcbd815149d9b35534d4638f,3f13b161e43f535b0970c86ecf5f8fa7502dd07f02ee4d875e26f076ac256f6b,966e963ed91ba0e1189bb36f7d9471e997bbdd216bf63fcfab3c042aa954a958,DEL,DEL,DEL
18074,aa0141f5a4f411d6c63848441eb3dc6fa1c4f660fb8eb0c868e625dfbf80c4bf,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
