,1,2,3,4,5,6,7,8,9,10,11,12,13
17850,d2fa855cbe77ea1fb4ad78833192b06bd6d78de85e5dd74a313bbd9c5a812272,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
13047,3b7d41244abb051aee674221bd5daa8351b6096452fcb309a0d421a012053a73,DEL,404fae49ace908a099830a64ee8f900fe2bab68dd7b6896fcd561c11134c5b04,adf266c97d3632aafded6ac95b5d3f3d1a319cf0e25f07e6a370635e15468a5d,DEL,b712ff26a92aca6e113c2bb88a23a36cc1806f02727202900498f90696d69d30,8fb8b91c7b631a12d12b134627f0df240ea0fb4c8e59edd8af4a07b748cc6738,DEL,325a3437749ad5463b28636ec17fb3c0c54f6f37fe4b00b0a2935f9b925a7c2f,DEL,702a854553642f1730a2198187079874b0bd73acb489d4640372d532f75f1f90,1742cb0f02efe881f34fb845baffe698aa711f06a83ca5eb2b87405b8e62d44f,DEL
12583,5edebcf5aa681a61283e87f37e421075737f39370ca100bbaee6ffdeaad01baa,bd01264504acf6f192567d9797809c1985708c474acdfb9ed613ed8b2f3acaf0,c11b36ddad1ff0ea59dfdd4adabfb19555a93b16a10dfa58b8bd1336b9b290b3,efa88500b6f31040b2b61f3c4f4a61fb12490072c804609e064b1a6e246ba9ff,DEL,dcfc4d45ad91441e3c58089030804c53aa4fc9d724b7ee70bba2f6c5eecd3755,73cea3b4be3c3808af727f2bac8b8b5d565072bc7c5ab9ea6e9c2122b99cb4aa,1007b6394b470bbdbbd75b8a889afcad580d2932e37942fa35342c8c5899a9f7,9019da942009be47882b6a2fec3f198468ae182f06c72550ec80babfcf70eddd,52aa5d587ac9d339b16b724ce5bde0ea07730239197f78913422b1a0fcefce74,6a8e9dfcaa524b8bdbec6be5e169ab3d1ba7820d90453fbac79e3460e23a74ae,18072c854fc88846aca98e803b6ff4e6dd966b43f6adecccaa62abb4608159cb,98beb91135930ff5b2088a45f1ff27ddb83237fd9af7d84adcd28b3d91aeaae8
13748,1041e22dcf5dcd56c6c4e08403b67576a69c85eca3d4dda983510de57b4f59b7,DEL,DEL,DEL,fbaf03362811ea1c56343343980fe7584c54825d8c27203c19412007cb81e21e,DEL,DEL,DEL,DEL,58b12ddd39bd45650ade9c73ebe5ed37e93b1bd04fdec6f43feb9a25b4d90e16,DEL,DEL,DEL
15100,aeb3e002afcb8e683b89ffc56807291be5d660d406e435faeb1f0418036a176a,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
15291,7d775eb5a415a59ce4c3f752aa7cd45b5f709a2708bcc22f8ad71fff1486545c,ed62e0a8f3f7c3d28ef3b8c849af826fc8ab9b42b7f44a168a1d40a13836c28f,DEL,17eb368d7d4b772a342b5ae20e9aa2db583fbd8e2fae92acf458be3c9af12e05,ac7fb95bd5228d44636d546d9d94c8a7e3edd9fc41f5eb20cc7e49857c68532d,DEL,3604a08be464374cb0d5edb52edfc0bc75827f06a9f0b56c0d8743cd6ef185de,DEL,DEL,b7abefbc5b4ceac8eac24306920b197fcf38838c5c7c5a615c05c384be4b5a1a,DEL,12e86a41d6a9cbb48fdcbb14301582e199b4e84d3f075a7f76519a2ce21e20cd,DEL
14688,22080dd474ab91cca966b211c38ba9c2f4a6390910aa552c65a4904540f12615,a2b5c3e2a1fa38e03dcbda904cdf525a62dca39e8674f5dd506b196e45a4892e,0475d2d4188e69441e0f1042e47e684ca10551ef530957059cd3f598fa18436e,30dfe92f366c2fafddf26119ab792f694d5ff7a0e1b85655edbe017330edcd49,5b01542ba4abeceb7fb901d459b65a937a4847b3d274bf56582ccb25763b2e91,6bf0dda90a4670f15b685d3e5a1a2e72b66c49aa8d7cff683f79e6a92d63203a,078df94a0da1cf76af57a73886f9574487dcbc6c5841551ed2f4901e4abc4dc8,3239319a1a4757cc21e8ee3634ef2bf7eb21c0d5664ae0f027b2ab8a280d81dc,a4b255c8fe5f3deef16f5d3b79826eb1d60eca5d7dc27e029881dca88b7903d5,3edbc0f05ae85ff9f9155c4bb7ef3bb22997c9683f3c74178e651eb9af64215e,0be45c90820af76b782f7d460cdb74a3485eaf96071e23617a29dc6dcf81bca9,DEL,7b147c64843b2aca1fe56442daf81c20e2b15b93ab7ded72cc93e6a3d8d1857f
17809,0f6ec9610697a37f63795cedf8bedb40045c5bb06d1cb95af5ea11b41c23af49,DEL,2e602303e0e178c04cba9f55720f2d644d01413b4e8bd97e0a3f4365bc98500e,DEL,34ca8f6fecd967af247058b9600dc726897a9b36c195b2bad2d7f8f863f8cdb0,840b3082d8cfa6a7502f4a950ada9fd36f27b86df40450c4269a243380dd8475,dfe1017d605bebe6e3e5bb53df242ffadb9acd6bea67ac345b2a06f5b8d74d1a,DEL,54972a61647c4f9987c68761e86923ca17728a3e94432b351796cb67db0878a4,DEL,10be5832430d937399ee0098b5c37c1a49f75b4cf783eeefc6204585798d1ee2,1519f1091774fb53ec01658ea14817571bbb848c4b2291305818a767099849ad,DEL
16098,27e7ec4071ee51cf465988d3a8b9469324560e6c118206fdbab8166f9f35b1eb,DEL,cfe1ed8fe94826379833eeafb944dfc507ede31d0185a0b05872285787b863cc,DEL,95800ce6cd4269954b0176e828768276c1c255e1029139b238610ff4d645ad4f,DEL,52cba5f18718c9efd336081fc389ea65694cfc1c981d3fd73742d530044d01e8,d424fa048dbee173746f5d2d0922e02e37a1d44a604c178b480c77cdf2c51e11,f8ba8efab5d30f0e91d5cc4b83051ebc3cab1104d8ca70824c8a0f6844206302,1c00cba8166e507d73647326e108a3212d6e5432b96615aed0b6bf1f9b21ec05,DEL,DEL,DEL
18074,b2ca5698d82d0d0fdfd94ab9719a6db3ab9d75ec7a765b094ad70a894abdf524,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
17420,a715e8e796a5053c25c954fa6310a046e3b83aac31fa1a058d99089991072494,DEL,DEL,DEL,DEL,DEL,8a43e0e82d1aa783d7840a61c899e5aca4207d6dbd09f20c11c36aa72d509511,DEL,DEL,DEL,d76c550d86f1bc390927e1e434748a74a4e873fbb55b05a4727d951116b78e56,DEL,DEL
